source_tenant,dest_tenant,purchase_issue_id,partner_detail_id,invoice_id,invoice_no,invoice_tenant,tray_id,status,debit_note_number,invoice_sequence_type,pr_type,created_on,updated_on,skull_opcode,invoice_date
th205,th223,306410,183381,,,,TR-8511,READY_FOR_DELIVERY,DR0205-25A000041,DELIVERY_CHALLAN,REGULAR,2025-05-12 16:09:28,2025-07-29 10:52:31,U,2025-07-29 10:52:30
th213,th435,1675,206328,79191,DP-23-42079,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:32,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1687,206328,79687,DP-23-355321,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:35,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1692,206328,77823,DP-22-564754,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:37,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1676,206328,76677,DP-23-444094,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:32,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1688,206328,79347,DP-23-402829,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:36,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1691,206328,77183,DP-23-205881,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:36,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1685,206328,77925,DP-22-564756,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:34,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1693,206328,78659,DP-22-564751,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:37,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1677,206328,79801,DP-23-399006,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:32,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1694,206328,77824,DP-23-42081,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:37,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1686,206328,77970,DP-23-202418,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:35,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1678,206328,74968,DP-22-193937,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:32,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1683,206328,80032,DP-23-402830,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:34,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1679,206328,72008,AWC-23-406,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:32,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1695,206328,110735,DP-24-279748,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:37,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1672,206328,74060,DP-23-293981,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:31,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1684,206328,78480,EA-23-1351823,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:34,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1671,206328,72053,AWC-23-404,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:31,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1673,206328,79112,DP-23-380765,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:31,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1689,206328,79846,DP-23-42078,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:36,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1690,206328,89606,MP-23-306713,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:36,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1674,206328,74015,DP-22-345898,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:31,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1680,206328,31682,DP-24-33653,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:34,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1682,206328,79601,DP-22-456502,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:34,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,1681,206328,79009,DP-23-355319,,,READY_FOR_DELIVERY,DR0213-25A000002,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-03 8:08:34,2025-07-03 8:08:41,U,2025-07-03 8:08:37
th213,th435,6728,206328,72953,DP-23-109261,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:24,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6739,206328,99729,S/27224,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:26,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6748,206328,98656,R/13462,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:29,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6735,206328,100707,S/54623,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:25,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6737,206328,79975,DP-23-376781,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:26,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6733,206328,77629,DP-23-43865,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:25,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6741,206328,79311,DP-23-388705,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:27,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6731,206328,78423,DP-23-444753,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:25,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6746,206328,109863,DP-23-290406,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:28,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6730,206328,77611,DP-22-563417,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:24,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6745,206328,79401,DP-23-239275,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:28,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6722,206328,72999,DP-23-109134,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:23,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6749,206328,74277,DP-23-98274,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:29,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6750,206328,101619,SB-23-36136,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:29,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6742,206328,78068,DP-23-238603,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:28,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6726,206328,78170,DP-23-43867,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:24,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6734,206328,98345,S/26475,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:25,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6727,206328,79072,DP-23-238633,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:24,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6729,206328,78465,DP-22-563420,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:24,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6738,206328,92920,R/8277,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:26,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6723,206328,77951,DP-23-190965,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:23,2025-08-06 10:27:15,U,2025-07-10 11:35:29
th213,th435,6725,206328,100797,S/54624,,,DELIVERED,DR0213-25A000003,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-07-10 11:35:23,2025-08-06 10:27:15,U,2025-07-10 11:35:29
