source_tenant,source_debit_note_number,internal_vendor_id,external_vendor_id,source_ucode,source_batch,source_qty,source_DN_amt,source_purchase_issue_invoice_date,source_created_on,source_updated_on,dest_tenant,isUcodeMissingInDestination
th205,PD0205-25A002414,37916,,I32287,HE9118,1,176.73,2025-05-28 9:43:32,2025-04-22 7:51:31,2025-06-18 12:40:04,th411,No
th205,PD0205-25A002414,37916,,I15210,R23110107D,2,531.45,2025-05-28 9:43:32,2025-04-22 7:51:34,2025-06-18 12:40:04,th411,No
th205,PD0205-25A002414,37916,,N82271,FCM1EDC2,1,57.67,2025-05-28 9:43:32,2025-05-12 16:09:34,2025-06-18 12:40:04,th411,No
th205,PD0205-25A002414,37916,,T68075,23430088,2,135.41,2025-05-28 9:43:32,2025-05-12 16:09:34,2025-06-18 12:40:04,th411,No
th205,PD0205-25A002414,37916,,I39225,GC062002,1,84.99,2025-05-28 9:43:32,2025-05-12 16:09:34,2025-06-18 12:40:04,th411,No
th205,PD0205-25A002414,37916,,15880,L820499,2,46.26,2025-05-28 9:43:32,2025-05-12 16:09:36,2025-06-18 12:40:04,th411,Yes
th430,PD0430-25A000092,60526,,I05392,ELR6AB1006,1,35.95,2025-05-29 7:05:45,2025-04-17 8:19:52,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,Q92412,LB-122212,1,48.83,2025-05-29 7:05:45,2025-04-17 8:19:53,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,44561,SN21819,1,67.83,2025-05-29 7:05:45,2025-04-17 8:19:53,2025-05-29 7:05:51,th427,Yes
th430,PD0430-25A000092,60526,,I30430,0KD-1898A,2,155.97,2025-05-29 7:05:45,2025-04-17 8:19:54,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,194709,2232C59902,2,27.35,2025-05-29 7:05:45,2025-04-17 8:19:54,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,X80146,SA13096,1,37.67,2025-05-29 7:05:45,2025-04-17 8:19:55,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,375822,592200887,1,78.49,2025-05-29 7:05:45,2025-04-17 8:19:55,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,175040,S201433,1,126,2025-05-29 7:05:45,2025-04-17 8:19:55,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,193762,M23054,1,112.76,2025-05-29 7:05:45,2025-04-17 8:19:55,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,71715,2237C59903,2,73.45,2025-05-29 7:05:45,2025-04-17 8:19:56,2025-05-29 7:05:51,th427,Yes
th430,PD0430-25A000092,60526,,82727,22510671,1,226.8,2025-05-29 7:05:45,2025-04-17 8:19:56,2025-05-29 7:05:51,th427,Yes
th430,PD0430-25A000092,60526,,193327,GAXD0012,2,480.97,2025-05-29 7:05:45,2025-04-17 8:19:56,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,112120,YMS21239,1,28.91,2025-05-29 7:05:45,2025-04-17 8:19:57,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,129240,KOP2002A,1,95.04,2025-05-29 7:05:45,2025-04-17 8:19:57,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,154825,SID1480A,1,139.68,2025-05-29 7:05:45,2025-04-17 8:19:57,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,126030,KP20453,1,39.85,2025-05-29 7:05:45,2025-04-17 8:19:57,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,210019,013F115,1,78.41,2025-05-29 7:05:45,2025-04-17 8:19:57,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,V75052,GLBA22006,2,300.41,2025-05-29 7:05:45,2025-04-17 8:19:58,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,I07645,23020AZWIA,1,261.36,2025-05-29 7:05:45,2025-04-17 8:19:58,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,253754,U202743,1,124.43,2025-05-29 7:05:45,2025-04-17 8:19:58,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,121265,B742,1,56.16,2025-05-29 7:05:45,2025-04-17 8:19:58,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,R55543,GZMK22025,1,117.36,2025-05-29 7:05:45,2025-04-17 8:19:58,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,167095,D52Y,1,81.36,2025-05-29 7:05:45,2025-04-17 8:19:58,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,95575,082L112,1,43.56,2025-05-29 7:05:45,2025-04-17 8:19:58,2025-05-29 7:05:51,th427,Yes
th430,PD0430-25A000092,60526,,85310,SSH0029,1,12.96,2025-05-29 7:05:45,2025-04-17 8:19:59,2025-05-29 7:05:51,th427,Yes
th430,PD0430-25A000092,60526,,D36261,I300469,1,128.89,2025-05-29 7:05:45,2025-04-17 8:19:59,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,191826,69210030,1,83.45,2025-05-29 7:05:45,2025-04-17 8:19:59,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,X31097,3188C84205,1,137.74,2025-05-29 7:05:45,2025-04-17 8:19:59,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,I37159,SN30042,1,580.33,2025-05-29 7:05:45,2025-04-17 8:20:00,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,165010,GKD0195B,2,53.29,2025-05-29 7:05:45,2025-04-17 8:20:00,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,25279,KBD2307A,1,162,2025-05-29 7:05:45,2025-04-17 8:20:01,2025-05-29 7:05:51,th427,Yes
th430,PD0430-25A000092,60526,,266624,D2212074,1,37.8,2025-05-29 7:05:45,2025-04-17 8:20:01,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,G19125,NH8C,1,160.55,2025-05-29 7:05:45,2025-04-17 8:20:01,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,E74424,SVA01A23,4,766.08,2025-05-29 7:05:45,2025-04-17 8:20:01,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,I01136,AMB23003,1,136.16,2025-05-29 7:05:45,2025-04-17 8:20:01,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,O27419,202101822,1,121.27,2025-05-29 7:05:45,2025-04-17 8:20:01,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,274388,CGY1010,1,47.26,2025-05-29 7:05:45,2025-04-17 8:20:01,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,270950,GERL2101,1,43.92,2025-05-29 7:05:45,2025-04-17 8:20:01,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,242597,AB6509A,3,673.41,2025-05-29 7:05:45,2025-04-17 8:20:02,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,262315,GRBN22005,1,143.28,2025-05-29 7:05:45,2025-04-17 8:20:02,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,188996,ZVT23170,1,79.2,2025-05-29 7:05:45,2025-04-17 8:20:02,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,329480,2308000052,2,254.31,2025-05-29 7:05:45,2025-04-17 8:20:02,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,241346,DD123012,3,99.36,2025-05-29 7:05:45,2025-04-17 8:20:03,2025-05-29 7:05:51,th427,No
th430,PD0430-25A000092,60526,,88485,MPM224985,1,19.94,2025-05-29 7:05:45,2025-04-17 8:20:03,2025-05-29 7:05:51,th427,Yes
th430,PD0430-25A000092,60526,,84345,M21023,2,24.46,2025-05-29 7:05:45,2025-04-17 8:20:03,2025-05-29 7:05:51,th427,Yes
