source_debit_note_number,source_tenant,dest_tenant
DR0213-25A000022,th213,th435
DR0213-25A000023,th213,th435
DR0213-25A000024,th213,th435
DR0213-25A000025,th213,th435
DR0213-25A000026,th213,th435
DR0213-25A000027,th213,th435
DR0213-25A000028,th213,th435
DR0213-25A000029,th213,th435
DR0213-25A000030,th213,th435
DR0213-25A000031,th213,th435
DR0213-25A000032,th213,th435
DR0213-25A000033,th213,th435
DR0213-25A000034,th213,th435
DR0213-25A000035,th213,th435
DR0213-25A000036,th213,th435
DR0213-25A000037,th213,th435
P0213-25A0000047,th213,th429
P0213-25A0000048,th213,th429
P0213-25A0000049,th213,th429
P0213-25A0000050,th213,th429
P0213-25A0000051,th213,th429
P0213-25A0000052,th213,th429
P0213-25A0000053,th213,th429
P0213-25A0000054,th213,th429
P0213-25A0000055,th213,th429
P0213-25A0000056,th213,th429
P0213-25A0000057,th213,th429
P0213-25A0000058,th213,th429
P0213-25A0000059,th213,th429
P0213-25A0000060,th213,th429
P0213-25A0000061,th213,th429
P0213-25A0000062,th213,th429
P0213-25A0000063,th213,th429
P0213-25A0000064,th213,th429
P0213-25A0000065,th213,th429
P0213-25A0000066,th213,th429
P0213-25A0000067,th213,th429
P0213-25A0000068,th213,th429
P0213-25A0000069,th213,th429
DR0214-25A001801,th214,th213
DR0214-25A000409,th214,th213
DR0214-25A003583,th214,th213
DR0214-25A003590,th214,th213
DR0214-25A003692,th214,th213
DR0214-25A003754,th214,th213
DR0214-25A003599,th214,th213
DR0214-25A003795,th214,th213
DR0214-25A003535,th214,th213
DR0214-25A003582,th214,th213
DR0214-25A003845,th214,th213
DR0214-25A003652,th214,th213
DR0214-25A003943,th214,th213
DR0214-25A003722,th214,th213
DR0214-25A003561,th214,th213
DR0214-25A003734,th214,th213
DR0214-25A004226,th214,th213
DR0214-25A003780,th214,th213
DR0214-25A003768,th214,th213
DR0214-25A003604,th214,th213
DR0214-25A003841,th214,th213
DR0214-25A003656,th214,th213
P0224-25A0000376,th224,th428
P0224-25A0000373,th224,th428
P0224-25A0000372,th224,th428
DR0224-25A000249,th224,th437
DR0224-25A000291,th224,th437
DR0224-25A000317,th224,th437
DR0224-25A000474,th224,th437
DR0224-25A000311,th224,th437
DR0224-25A000292,th224,th437
DR0224-25A000309,th224,th437
DR0224-25A000302,th224,th437
DR0224-25A000368,th224,th437
DR0224-25A000379,th224,th437
DR0224-25A000293,th224,th437
DR0224-25A000303,th224,th437
DR0224-25A000307,th224,th437
DR0224-25A000299,th224,th437
DR0224-25A000448,th224,th437
DR0224-25A000353,th224,th437
DR0224-25A000313,th224,th437
DR0224-25A000384,th224,th437
DR0224-25A000357,th224,th437
DR0224-25A000360,th224,th437
DR0224-25A000475,th224,th437
DR0224-25A000438,th224,th437
DR0224-25A000461,th224,th437
DR0224-25A000493,th224,th437
DR0224-25A000385,th224,th437
DR0224-25A000498,th224,th437
DR0435-25A000399,th435,th214
