source_debit_note_number,dest_tenant,source_tenant,id_in_inward_invoice,partner_detail_id_in_inward_invoice,status_in_inward_invoice,purchase_type_in_inward_invoice,purchase_issue_id,invoice_id,invoice_no,debit_note_number,invoice_sequence_type,tray_id,invoice_date,invoice_tenant,partner_detail_id_in_purchase_issue,child_tenant_partner_detail_id,isInvoiceTenantDifferent,isST_ICS_Condition_Cause
DR0411-25A000012,th411,th402,152512,188552,live,StockTransfer,156423,152512,A0400-24A0002079,DR0411-25A000012,DELIVERY_CHALLAN,,2025-07-04 10:31:41,,37678,,True,True
P0224-25A0000202,th224,th425,820269,183381,live,ICS,779990,820269,T0223-25A0000331,P0224-25A0000202,DEBIT_NOTE_NUMBER,,2025-07-21 11:53:01,,37923,,True,True
P0417-25A0000050,th417,th411,19366,3449,live,ICS,25166,19366,MP-24-133259,P0417-25A0000050,DEBIT_NOTE_NUMBER,TR-108,2025-07-26 04:45:29,th413,37916,,True,True
P0417-25A0000051,th417,th429,25457,61,live,PROCUREMENT,26033,25457,T0429-25A0000749,P0417-25A0000051,DEBIT_NOTE_NUMBER,TR-437,2025-07-28 08:57:29,th418,191768,,True,False
P0417-25A0000051,th417,th429,37548,191768,live,ICS,26048,37548,T0429-25A0002192,P0417-25A0000051,DEBIT_NOTE_NUMBER,TR-749,2025-07-28 08:57:29,th417,191768,,False,False
P0417-25A0000051,th417,th429,25978,32262,live,PROCUREMENT,26051,25978,T0429-25A0001699,P0417-25A0000051,DEBIT_NOTE_NUMBER,TR-749,2025-07-28 08:57:29,th418,191768,,True,False
P0417-25A0000051,th417,th429,36454,191768,live,ICS,26066,36454,T0429-25A0000688,P0417-25A0000051,DEBIT_NOTE_NUMBER,TR-437,2025-07-28 08:57:29,th417,191768,,False,False
P0417-25A0000051,th417,th429,26025,61,live,RECTIFICATION,26069,26025,T0429-25A0001823,P0417-25A0000051,DEBIT_NOTE_NUMBER,TR-749,2025-07-28 08:57:29,th418,191768,,True,False
P0417-25A0000051,th417,th429,38718,191768,live,ICS,26124,38718,T0429-25A0003941,P0417-25A0000051,DEBIT_NOTE_NUMBER,TR-749,2025-07-28 08:57:29,th417,191768,,False,False
P0417-25A0000051,th417,th429,38495,191768,live,ICS,26135,38495,T0429-25A0003708,P0417-25A0000051,DEBIT_NOTE_NUMBER,TR-749,2025-07-28 08:57:29,th417,191768,,False,False
P0417-25A0000051,th417,th429,,,,,26161,40497,T0429-25A0000605,P0417-25A0000051,DEBIT_NOTE_NUMBER,TR-749,2025-07-28 08:57:29,th413,191768,,True,False
P0417-25A0000051,th417,th429,38858,191768,live,ICS,26162,38858,T0429-25A0004111,P0417-25A0000051,DEBIT_NOTE_NUMBER,TR-437,2025-07-28 08:57:29,th417,191768,,False,False
P0417-25A0000051,th417,th429,26065,74943,live,SALES_RETURN,26203,26065,T0429-25A0001851,P0417-25A0000051,DEBIT_NOTE_NUMBER,TR-437,2025-07-28 08:57:29,th418,191768,,True,False
P0417-25A0000051,th417,th429,40245,3449,StockHidden,ICS,26207,40245,T0429-25A0000250,P0417-25A0000051,DEBIT_NOTE_NUMBER,TR-749,2025-07-28 08:57:29,th413,191768,,True,True
P0417-25A0000051,th417,th429,37518,191768,live,ICS,26220,37518,T0429-25A0002135,P0417-25A0000051,DEBIT_NOTE_NUMBER,TR-437,2025-07-28 08:57:29,th417,191768,,False,False
P0417-25A0000051,th417,th429,,,,,26221,57688,T0429-25A0002892,P0417-25A0000051,DEBIT_NOTE_NUMBER,TR-749,2025-07-28 08:57:29,th435,191768,,True,False
P0417-25A0000051,th417,th429,,,,,26222,41441,T0429-25A0001865,P0417-25A0000051,DEBIT_NOTE_NUMBER,TR-437,2025-07-28 08:57:29,th413,191768,,True,False
P0417-25A0000051,th417,th429,38972,191768,live,ICS,26338,38972,T0429-25A0004230,P0417-25A0000051,DEBIT_NOTE_NUMBER,TR-749,2025-07-28 08:57:29,th417,191768,,False,False
P0417-25A0000051,th417,th429,38900,191768,live,ICS,26494,38900,T0429-25A0004158,P0417-25A0000051,DEBIT_NOTE_NUMBER,TR-749,2025-07-28 08:57:29,th417,191768,,False,False
P0417-25A0000053,th417,th429,,,,,26475,41801,T0429-25A0002401,P0417-25A0000053,DEBIT_NOTE_NUMBER,TR-495,2025-07-28 10:48:43,th413,191768,,True,False
DR0402-25A000184,th402,th400,,,,,78453,,,DR0402-25A000184,DELIVERY_CHALLAN,TR-50463,2025-07-28 11:20:20,,183479,173725,True,False
DR0402-25A000184,th402,th400,,,,,79228,,,DR0402-25A000184,DELIVERY_CHALLAN,TR-46693,2025-07-28 11:20:20,,183479,173725,True,False
DR0402-25A000184,th402,th400,,,,,80169,,,DR0402-25A000184,DELIVERY_CHALLAN,TR-58464,2025-07-28 11:20:20,,183479,173725,True,False
DR0402-25A000185,th402,th400,,,,,78457,,,DR0402-25A000185,DELIVERY_CHALLAN,TR-50099,2025-07-28 11:20:36,,183479,173725,True,False
DR0402-25A000185,th402,th400,,,,,79540,,,DR0402-25A000185,DELIVERY_CHALLAN,TR-54015,2025-07-28 11:20:36,,183479,173725,True,False
P0417-25A0000054,th417,th214,22806,3450,live,ICS,24512,22806,T0214-25A0002624,P0417-25A0000054,DEBIT_NOTE_NUMBER,tr-237,2025-07-28 11:29:16,th418,3449,,True,True
P0417-25A0000054,th417,th214,37146,3449,live,ICS,24610,37146,T0214-25A0009085,P0417-25A0000054,DEBIT_NOTE_NUMBER,TR-392,2025-07-28 11:29:16,th417,3449,,False,False
P0417-25A0000054,th417,th214,39070,206673,live,RECTIFICATION,25646,39070,T0214-25A0005898,P0417-25A0000054,DEBIT_NOTE_NUMBER,TR-206,2025-07-28 11:29:16,th413,3449,,True,False
P0417-25A0000054,th417,th214,39204,3449,live,ICS,26072,39204,T0214-25A0012684,P0417-25A0000054,DEBIT_NOTE_NUMBER,TR-749,2025-07-28 11:29:16,th417,3449,,False,False
P0417-25A0000054,th417,th214,34477,3449,live,ICS,26083,34477,T0214-25A0004746,P0417-25A0000054,DEBIT_NOTE_NUMBER,TR-749,2025-07-28 11:29:16,th417,3449,,False,False
P0417-25A0000054,th417,th214,35250,3449,live,ICS,26086,35250,T0214-25A0006619,P0417-25A0000054,DEBIT_NOTE_NUMBER,TR-100,2025-07-28 11:29:16,th417,3449,,False,False
P0417-25A0000054,th417,th214,23677,79637,live,SALES_RETURN,26087,23677,T0214-25A0004194,P0417-25A0000054,DEBIT_NOTE_NUMBER,TR-100,2025-07-28 11:29:16,th418,3449,,True,False
P0417-25A0000054,th417,th214,38983,38165,live,PROCUREMENT,26088,38983,T0214-25A0005723,P0417-25A0000054,DEBIT_NOTE_NUMBER,TR-749,2025-07-28 11:29:16,th413,3449,,True,False
P0417-25A0000054,th417,th214,34443,3449,live,ICS,26089,34443,T0214-25A0004646,P0417-25A0000054,DEBIT_NOTE_NUMBER,TR-437,2025-07-28 11:29:16,th417,3449,,False,False
P0417-25A0000054,th417,th214,23728,3566,live,PROCUREMENT,26091,23728,T0214-25A0004311,P0417-25A0000054,DEBIT_NOTE_NUMBER,TR-437,2025-07-28 11:29:16,th418,3449,,True,False
P0417-25A0000054,th417,th214,,,,,26131,54807,T0214-25A0007663,P0417-25A0000054,DEBIT_NOTE_NUMBER,TR-305,2025-07-28 11:29:16,th435,3449,,True,False
P0417-25A0000054,th417,th214,36980,3449,live,ICS,26142,36980,T0214-25A0008795,P0417-25A0000054,DEBIT_NOTE_NUMBER,TR-749,2025-07-28 11:29:16,th417,3449,,False,False
P0417-25A0000054,th417,th214,39079,3449,live,ICS,26144,39079,T0214-25A0012450,P0417-25A0000054,DEBIT_NOTE_NUMBER,TR-749,2025-07-28 11:29:16,th417,3449,,False,False
P0417-25A0000054,th417,th214,39204,3449,live,ICS,26146,39204,T0214-25A0012684,P0417-25A0000054,DEBIT_NOTE_NUMBER,TR-749,2025-07-28 11:29:16,th417,3449,,False,False
P0417-25A0000054,th417,th214,39204,3449,live,ICS,26147,39204,T0214-25A0012684,P0417-25A0000054,DEBIT_NOTE_NUMBER,TR-749,2025-07-28 11:29:16,th417,3449,,False,False
P0417-25A0000054,th417,th214,,,,,26242,58401,T0214-25A0011040,P0417-25A0000054,DEBIT_NOTE_NUMBER,TR-749,2025-07-28 11:29:16,th435,3449,,True,False
P0417-25A0000054,th417,th214,26488,75238,live,SALES_RETURN,26295,26488,T0214-25A0009879,P0417-25A0000054,DEBIT_NOTE_NUMBER,TR-437,2025-07-28 11:29:16,th418,3449,,True,False
P0417-25A0000054,th417,th214,24374,75406,live,SALES_RETURN,26302,24374,T0214-25A0006070,P0417-25A0000054,DEBIT_NOTE_NUMBER,TR-437,2025-07-28 11:29:16,th418,3449,,True,False
P0417-25A0000054,th417,th214,38487,76832,live,SALES_RETURN,26305,38487,T0214-25A0004457,P0417-25A0000054,DEBIT_NOTE_NUMBER,TR-100,2025-07-28 11:29:16,th413,3449,,True,False
P0417-25A0000054,th417,th214,38877,3449,live,ICS,26335,38877,T0214-25A0012156,P0417-25A0000054,DEBIT_NOTE_NUMBER,TR-749,2025-07-28 11:29:16,th417,3449,,False,False
P0417-25A0000054,th417,th214,38918,3449,live,ICS,26336,38918,T0214-25A0012227,P0417-25A0000054,DEBIT_NOTE_NUMBER,TR-749,2025-07-28 11:29:16,th417,3449,,False,False
