source_debit_note_number,dest_tenant,source_tenant,purchase_issue_id,ucode,batch,return_quantity,pre_purchase_issue_id
DR0411-25A000012,th402,th411,156423,080356,SXF2816A,1,
P0224-25A0000202,th425,th224,779990,N89755,KT022E,68,
P0417-25A0000050,th411,th417,25166,P99163,073H013,3,21899
P0417-25A0000051,th429,th417,26051,Y95578,I500717,1,23764
P0417-25A0000051,th429,th417,26069,079170,5IB0106,1,24003
P0417-25A0000051,th429,th417,26161,009466,TF24M330,2,23668
P0417-25A0000051,th429,th417,26207,085767,60001803,1,23090
DR0402-25A000184,th400,th402,79228,264359,DPCHE240929,1,97310
DR0402-25A000184,th400,th402,80169,Y77531,RHVAE241101,1,99522
DR0402-25A000185,th400,th402,78457,193898,KPCH231001,2,96528
DR0402-25A000185,th400,th402,79540,198349,PT218,1,99937
DR0402-25A000185,th400,th402,79540,264323,DPCHE230212,1,99842
P0417-25A0000054,th214,th417,24512,122435,SIF2508A,2,22046
P0417-25A0000054,th214,th417,26131,122425,SIF2294A,2,22094
P0417-25A0000054,th214,th417,26242,N86575,E16KP25001,1,22476
P0417-25A0000054,th214,th417,26295,L30281,02250222,1,23476
P0417-25A0000054,th214,th417,26302,I13417,4BA2863,1,23706
P0417-25A0000056,th429,th417,26515,G72002,UB00026,1,24023
DR0417-25A000160,th413,th417,26093,U79012,PLJRAX77,1,23277
P0413-25A0000263,th429,th413,45841,119200,02250031,1,37040
P0413-25A0000280,th429,th413,45921,U33334,2508000150,1,37133
P0413-25A0000280,th429,th413,45924,112120,YMS24202,2,37138
P0411-25A0000077,th402,th411,138688,K84488,GTF3553A,1,
P0411-25A0000077,th402,th411,141589,I42848,SXG0002A,7,
