source_debit_note_number,source_tenant,dest_tenant
PD0205-25A002683,th205,th402
PD0205-25A002681,th205,th402
PD0205-25A002675,th205,th402
PD0205-25A002666,th205,th411
PD0205-25A002885,th205,th223
PD0205-25A002873,th205,th223
DR0205-25A000041,th205,th223
DR0214-25A001801,th214,th213
DR0214-25A000409,th214,th213
DR0214-25A000009,th214,th213
DR0214-25A000934,th214,th213
DR0214-25A000957,th214,th213
DR0214-25A000952,th214,th213
DR0214-25A000958,th214,th213
DR0214-25A000941,th214,th213
DR0214-25A000945,th214,th213
DR0214-25A001109,th214,th213
DR0214-25A001041,th214,th213
DR0214-25A001021,th214,th213
DR0214-25A001033,th214,th213
DR0214-25A001039,th214,th213
DR0214-25A001530,th214,th213
DR0214-25A002329,th214,th213
DR0214-25A001797,th214,th213
DR0214-25A002257,th214,th213
DR0214-25A003211,th214,th213
DR0214-25A001616,th214,th213
DR0214-25A001679,th214,th213
DR0214-25A001657,th214,th213
DR0214-25A002522,th214,th213
DR0214-25A001629,th214,th213
DR0214-25A000995,th214,th213
DR0214-25A002557,th214,th213
DR0214-25A002551,th214,th213
DR0214-25A002408,th214,th411
PD0214-25A005255,th214,th223
PD0214-25A005983,th214,th407
DR0224-25A000228,th224,th223
PD0224-25A004194,th224,th223
DR0224-25A000027,th224,th223
DR0224-25A000192,th224,th223
DR0224-25A000180,th224,th223
DR0224-25A000215,th224,th223
DR0224-25A000367,th224,th223
DR0224-25A000263,th224,th427
DR0402-25A000059,th402,th400
DR0402-25A000061,th402,th400
DR0402-25A000127,th402,th400
DR0402-25A000217,th402,th400
DR0402-25A000219,th402,th400
DR0402-25A000138,th402,th400
DR0402-25A000234,th402,th400
DR0402-25A000203,th402,th400
PD0405-25A000395,th405,th223
PD0406-25A000771,th406,th411
PD0406-25A000774,th406,th411
PD0406-25A000592,th406,th223
DR0406-25A000002,th406,th223
DR0406-25A000129,th406,th223
DR0406-25A000131,th406,th223
DR0406-25A000100,th406,th223
PD0406-25A000560,th406,th223
PD0406-25A000535,th406,th223
PD0406-25A000565,th406,th223
PD0406-25A000527,th406,th213
PD0406-25A000573,th406,th213
PD0406-25A000578,th406,th418
DR0409-25A000011,th409,th402
PD0411-25A001725,th411,th205
DR0413-25A000964,th413,th435
PD0418-25A000068,th418,th430
DR0425-25A000015,th425,th223
DR0425-25A000086,th425,th223
DR0425-25A000080,th425,th223
DR0425-25A000026,th425,ar927
DR0425-25A000101,th425,ar927
