source_debit_note_number,source_tenant,message,dest_tenant
P0213-25A0000067,th213,"{""error"":""Request processing failed"",""message"":""Invoice details not found for ucode: 365696, batch: T23010 for tenant: th429""}",th429
DR0214-25A001801,th214,upstream request timeout,th213
DR0214-25A000409,th214,"{""error"":""Request processing failed"",""message"":""Invoice details not found for ucode: I40435, batch: 2208000408 for tenant: th213""}",th213
DR0214-25A003583,th214,"{""error"":""Request processing failed"",""message"":""Invoice details not found for ucode: W23783, batch: TLE23027 for tenant: th213""}",th213
DR0214-25A003590,th214,"{""error"":""Request processing failed"",""message"":""Invoice details not found for ucode: I07187, batch: NP1725 for tenant: th213""}",th213
DR0214-25A003692,th214,"{""error"":""Request processing failed"",""message"":""Invoice details not found for ucode: 248438, batch: TPJ0092 for tenant: th213""}",th213
DR0214-25A003754,th214,"{""error"":""Request processing failed"",""message"":""Invoice details not found for ucode: B16810, batch: G23-0058K for tenant: th213""}",th213
DR0214-25A003599,th214,"{""error"":""Request processing failed"",""message"":""Invoice details not found for ucode: 092310, batch: XC23029 for tenant: th213""}",th213
DR0214-25A003795,th214,"{""error"":""Request processing failed"",""message"":""Invoice details not found for ucode: 273160, batch: SDR-23019 for tenant: th213""}",th213
DR0214-25A003535,th214,"{""error"":""Request processing failed"",""message"":""Invoice details not found for ucode: 193662, batch: DJAI34 for tenant: th213""}",th213
DR0214-25A003582,th214,"{""error"":""Request processing failed"",""message"":""Invoice details not found for ucode: 109145, batch: LB224 for tenant: th213""}",th213
DR0214-25A003845,th214,"{""error"":""Request processing failed"",""message"":""Invoice details not found for ucode: F36047, batch: 220991 for tenant: th213""}",th213
DR0214-25A003652,th214,"{""error"":""Request processing failed"",""message"":""Invoice details not found for ucode: I35699, batch: NYTD063 for tenant: th213""}",th213
DR0214-25A003943,th214,"{""error"":""Request processing failed"",""message"":""Invoice details not found for ucode: N51238, batch: P2AEW002 for tenant: th213""}",th213
DR0214-25A003722,th214,"{""error"":""Request processing failed"",""message"":""Invoice details not found for ucode: I37515, batch: 2I23100 for tenant: th213""}",th213
