tenant,pre-pr-issue-id,vendor_type,status,created_on,updated_on,update_query
th205,303030,PRIMARY,CREATED,2025-05-10 11:40:43.229000,2025-07-25 06:50:39.246000,UPDATE th205.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 303030 AND vendor_type = 'PRIMARY';
th205,303054,PRIMARY,CREATED,2025-05-10 14:46:03.980000,2025-07-25 06:46:47.489000,UPDATE th205.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 303054 AND vendor_type = 'PRIMARY';
th205,305983,PRIMARY,CREATED,2025-05-22 06:28:08.144000,2025-08-08 09:52:27.884000,UPDATE th205.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 305983 AND vendor_type = 'PRIMARY';
th205,305989,PRIMARY,CREATED,2025-05-22 06:43:45.842000,2025-08-08 09:52:27.885000,UPDATE th205.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 305989 AND vendor_type = 'PRIMARY';
th205,308184,PRIMARY,CREATED,2025-05-24 10:12:01.945000,2025-08-08 09:52:27.886000,UPDATE th205.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 308184 AND vendor_type = 'PRIMARY';
th205,309138,PRIMARY,CREATED,2025-05-28 08:36:54.571000,2025-07-25 06:54:01.180000,UPDATE th205.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 309138 AND vendor_type = 'PRIMARY';
th205,309143,PRIMARY,CREATED,2025-05-28 08:47:04.985000,2025-07-25 06:54:01.181000,UPDATE th205.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 309143 AND vendor_type = 'PRIMARY';
th205,309177,PRIMARY,CREATED,2025-05-28 11:08:29.460000,2025-05-28 11:08:29.460000,UPDATE th205.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 309177 AND vendor_type = 'PRIMARY';
th205,310110,PRIMARY,CREATED,2025-05-29 14:24:40.533000,2025-07-25 06:54:01.185000,UPDATE th205.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 310110 AND vendor_type = 'PRIMARY';
th205,310111,PRIMARY,CREATED,2025-05-29 14:25:15.903000,2025-07-25 06:54:01.186000,UPDATE th205.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 310111 AND vendor_type = 'PRIMARY';
th205,312629,PRIMARY,CREATED,2025-06-05 11:33:01.903000,2025-08-08 09:30:18.356000,UPDATE th205.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 312629 AND vendor_type = 'PRIMARY';
th205,313417,PRIMARY,CREATED,2025-06-11 08:17:46.346000,2025-08-08 09:47:47.491000,UPDATE th205.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 313417 AND vendor_type = 'PRIMARY';
th205,313418,PRIMARY,CREATED,2025-06-11 08:19:22.146000,2025-08-08 09:47:47.492000,UPDATE th205.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 313418 AND vendor_type = 'PRIMARY';
th205,313419,PRIMARY,CREATED,2025-06-11 08:19:47.996000,2025-08-08 09:47:47.493000,UPDATE th205.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 313419 AND vendor_type = 'PRIMARY';
