id,ucode,batch,return_reason,return_quantity,purchase_issue_id,created_on,updated_on,bin,discount_percentage,name,expiry,mrp,discount_amount,discount_on,epr,sgst,cgst,igst,sgst_amount,cgst_amount,igst_amount,amount,purchase_rate,brand,division,item_type,pts,gst_applicable,pr,assigned_bin,status,pre_purchase_issue_id,ppio_in_PR,source_debit_note_number,source_tenant,update_pre_purchase_query,delete_purchase_issue_item_query
468955,N38157,MT241066,EXPIRED,4,180680,2025-06-03 11:21:04,2025-06-13 06:24:09,O2-R25-S12-002,0.00,GLIMISAVE DM 1/500MG STRIP OF 10 TABLETS,2025-08-31,130.00,0.00,EPR,83.57,0.00,0.00,12.00,0.00,0.00,40.11,374.39,,ERIS LIFE SCIENCES PVT LTD,ASPIRE (ERIS LIFE SCIENCES PVT LTD),EXPIRED,0.00,1,0.00,PR1-R01-S01-312,IN_RACK,180185,180185,DR0425-25A000149,th425,"UPDATE th425.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 180185",DELETE FROM th425.purchase_issue_item WHERE id = 468955
737021,S01767,GWK180004,EXPIRED,2,704634,2025-07-08 07:35:53,2025-07-08 07:35:53,AQ2-R05-S05-001,0.00,KWIK PLUS LINIMENT 50 ML,2025-04-30,150.00,0.00,EPR,72.32,0.00,0.00,0.00,0.00,0.00,0.00,144.64,,OZONE PHARMACEUTICALS LTD,DEFAULT (OZONE PHARMACEUTICALS LTD),EXPIRED,0.00,0,0.00,PR0-R00-S00-241,IN_RACK,677974,678010,DR0214-25A004460,th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 677974",DELETE FROM th214.purchase_issue_item WHERE id = 737021
468244,S52662,FC23132,EXPIRED,5,180397,2025-06-02 07:10:20,2025-06-03 09:45:30,N1-R29-S12-004,0.00,LIPIOUT STRIP OF 10 TABLETS,2025-04-30,199.00,0.00,EPR,109.50,0.00,0.00,12.00,0.00,0.00,65.70,613.20,,FOREGEN HEALTHCARE PVT LTD,DEFAULT (FOREGEN HEALTHCARE PVT LTD),EXPIRED,0.00,1,0.00,PR1-R01-S01-248,IN_RACK,178728,178728,DR0425-25A000148,th425,"UPDATE th425.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 178728",DELETE FROM th425.purchase_issue_item WHERE id = 468244
818787,A73522,AOT23913B,EXPIRED,1,783918,2025-07-28 12:24:41,2025-07-28 12:24:41,,0.00,PANTABIN 40MG STRIP OF 10 TABLETS,2025-09-30,65.00,0.00,EPR,41.79,0.00,0.00,0.00,0.00,0.00,0.00,41.79,,BINDUMADHAV PHARMA,DEFAULT (BINDUMADHAV PHARMA),SALEABLE,0.00,0,0.00,PR0-R00-S00-724,IN_RACK,602970,602970,P0214-25A0002610,th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 602970",DELETE FROM th214.purchase_issue_item WHERE id = 818787
851199,326115,D843235,DAMAGED,1,802805,2025-08-18 10:59:53,2025-08-18 10:59:53,,0.00,TRULICITY 0.75MG PRE FILLED PEN OF 0.5ML SOLUTION FOR INJECTION (PACK OF 2),2026-08-31,6047.00,0.00,EPR,4172.43,0.00,0.00,12.00,0.00,0.00,500.69,4673.12,,CIPLA LIMITED,VITALIS ACE (CIPLA LIMITED),DAMAGED,0.00,1,0.00,PR1-R01-S01-450,IN_RACK,558529,558529,DR0224-25A000514,th224,"UPDATE th224.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 558529",DELETE FROM th224.purchase_issue_item WHERE id = 851199
851315,G06902,GSL40422,DAMAGED,1,802921,2025-08-18 11:00:24,2025-08-18 11:00:23,,0.00,BRO COFDEX RASPBERRY FLAVOUR BOTTLE OF 100ML SYRUP,2026-05-31,127.05,0.00,EPR,17.91,0.00,0.00,12.00,0.00,0.00,2.15,20.06,,CIPLA GX,NEXGEN (CIPLA GX),DAMAGED,0.00,1,0.00,PR1-R01-S01-450,IN_RACK,579675,579675,DR0224-25A000514,th224,"UPDATE th224.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 579675",DELETE FROM th224.purchase_issue_item WHERE id = 851315
758205,D46619,K2402156,DAMAGED,1,724662,2025-07-10 19:21:31,2025-07-10 19:21:31,,0.00,INTACOXIA 120MG STRIP OF 15 TABLETS,2026-09-30,222.00,0.00,EPR,55.50,6.00,6.00,0.00,3.33,3.33,0.00,62.16,,INTAS PHARMACEUTICALS LTD,DEFAULT (INTAS PHARMACEUTICALS LTD),DAMAGED,0.00,1,0.00,PR0-R00-S00-111,IN_RACK,614003,614003,DR0214-25A004341,th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 614003",DELETE FROM th214.purchase_issue_item WHERE id = 758205
855752,024255,G29H,EXPIRED,4,807308,2025-08-19 21:09:51,2025-08-19 21:09:50,,0.00,BETNOVATE GM TUBE OF 20GM CREAM,2025-05-31,41.15,0.00,EPR,25.13,0.00,0.00,12.00,0.00,0.00,12.06,112.58,,GLAXOSMITHKLINE,ATHENUS (GLAXOSMITHKLINE),EXPIRED,0.00,1,0.00,PR1-R01-S01-248,IN_RACK,525290,525290,DR0224-25A000727,th224,"UPDATE th224.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 525290",DELETE FROM th224.purchase_issue_item WHERE id = 855752
855786,255148,824D054,EXPIRED,1,807342,2025-08-19 21:09:56,2025-08-19 21:09:55,,0.00,AUGMENTIN DUO 625MG STRIP OF 10 TABLETS,2025-07-31,204.85,0.00,EPR,121.15,0.00,0.00,12.00,0.00,0.00,14.54,135.69,,GLAXOSMITHKLINE,MAGNUS (GLAXOSMITHKLINE),EXPIRED,0.00,1,0.00,PR1-R01-S01-248,IN_RACK,554461,554461,DR0224-25A000727,th224,"UPDATE th224.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 554461",DELETE FROM th224.purchase_issue_item WHERE id = 855786
871161,P26899,606E2309,EXPIRED,3,778862,2025-08-21 18:34:29,2025-08-21 18:34:29,,0.00,ULTRA D3 NATURAL PINEAPPLE FLAVOUR 400IU VITAMIN D3 FOR INFANTS VITAMIN DROPS BOTTLE OF 15 ML,2025-08-31,43.84,0.00,EPR,28.66,0.00,0.00,12.00,0.00,0.00,10.32,96.30,31.32,MEYER ORGANICS PVT LTD,CELLAGE (MEYER ORGANICS PVT LTD),EXPIRED,0.00,1,0.00,,,525741,525741,DR0224-25A000353,th224,"UPDATE th224.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 525741",DELETE FROM th224.purchase_issue_item WHERE id = 871161
871162,P26899,606E2309,EXPIRED,9,778862,2025-08-21 18:34:29,2025-08-21 18:34:29,,0.00,ULTRA D3 NATURAL PINEAPPLE FLAVOUR 400IU VITAMIN D3 FOR INFANTS VITAMIN DROPS BOTTLE OF 15 ML,2025-08-31,43.84,0.00,EPR,28.66,0.00,0.00,12.00,0.00,0.00,30.95,288.89,31.32,MEYER ORGANICS PVT LTD,CELLAGE (MEYER ORGANICS PVT LTD),EXPIRED,0.00,1,0.00,,,525741,525741,DR0224-25A000353,th224,"UPDATE th224.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 525741",DELETE FROM th224.purchase_issue_item WHERE id = 871162
871163,P26899,606E2309,EXPIRED,9,778862,2025-08-21 18:34:29,2025-08-21 18:34:29,,0.00,ULTRA D3 NATURAL PINEAPPLE FLAVOUR 400IU VITAMIN D3 FOR INFANTS VITAMIN DROPS BOTTLE OF 15 ML,2025-08-31,43.84,0.00,EPR,28.66,0.00,0.00,12.00,0.00,0.00,30.95,288.89,31.32,MEYER ORGANICS PVT LTD,CELLAGE (MEYER ORGANICS PVT LTD),EXPIRED,0.00,1,0.00,,,525741,525741,DR0224-25A000353,th224,"UPDATE th224.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 525741",DELETE FROM th224.purchase_issue_item WHERE id = 871163
