source_debit_note_number,dest_tenant,source_tenant
DR0213-25A000022,th435,th213
DR0213-25A000023,th435,th213
DR0213-25A000024,th435,th213
DR0213-25A000025,th435,th213
DR0213-25A000026,th435,th213
P0213-25A0000047,th429,th213
P0213-25A0000048,th429,th213
P0213-25A0000049,th429,th213
P0213-25A0000050,th429,th213
P0213-25A0000051,th429,th213
P0213-25A0000052,th429,th213
P0213-25A0000053,th429,th213
P0213-25A0000054,th429,th213
P0213-25A0000055,th429,th213
P0213-25A0000056,th429,th213
DR0214-25A001801,th213,th214
DR0214-25A000409,th213,th214
DR0214-25A003583,th213,th214
DR0214-25A003590,th213,th214
DR0214-25A003692,th213,th214
DR0214-25A003599,th213,th214
DR0214-25A003535,th213,th214
DR0214-25A003582,th213,th214
DR0214-25A003652,th213,th214
DR0214-25A003561,th213,th214
DR0214-25A003604,th213,th214
DR0214-25A003656,th213,th214
DR0224-25A000249,th437,th224
DR0224-25A000291,th437,th224
DR0224-25A000317,th437,th224
DR0224-25A000474,th437,th224
DR0224-25A000311,th437,th224
DR0224-25A000292,th437,th224
DR0224-25A000309,th437,th224
DR0224-25A000302,th437,th224
DR0224-25A000368,th437,th224
DR0224-25A000379,th437,th224
DR0224-25A000293,th437,th224
DR0224-25A000303,th437,th224
DR0224-25A000307,th437,th224
DR0224-25A000299,th437,th224
DR0224-25A000448,th437,th224
DR0224-25A000353,th437,th224
DR0224-25A000313,th437,th224
DR0224-25A000384,th437,th224
DR0224-25A000357,th437,th224
DR0224-25A000360,th437,th224
DR0224-25A000475,th437,th224
DR0224-25A000438,th437,th224
DR0224-25A000461,th437,th224
DR0224-25A000493,th437,th224
DR0224-25A000385,th437,th224
DR0224-25A000498,th437,th224
DR0435-25A000399,th214,th435
