source_debit_note_number,dest_tenant,source_tenant
P0213-25A0000067,th429,th213
DR0214-25A001801,th213,th214
DR0214-25A000409,th213,th214
DR0214-25A003583,th213,th214
DR0214-25A003590,th213,th214
DR0214-25A004257,th213,th214
DR0214-25A003692,th213,th214
DR0214-25A003754,th213,th214
DR0214-25A003599,th213,th214
DR0214-25A003795,th213,th214
DR0214-25A003535,th213,th214
DR0214-25A003582,th213,th214
DR0214-25A003845,th213,th214
DR0214-25A003652,th213,th214
DR0214-25A003943,th213,th214
DR0214-25A003722,th213,th214
DR0214-25A003561,th213,th214
DR0214-25A003734,th213,th214
DR0214-25A004226,th213,th214
DR0214-25A003780,th213,th214
DR0214-25A003768,th213,th214
DR0214-25A003604,th213,th214
DR0214-25A003841,th213,th214
DR0214-25A003656,th213,th214
P0224-25A0000376,th428,th224
P0224-25A0000373,th428,th224
P0224-25A0000372,th428,th224
DR0224-25A000249,th437,th224
DR0224-25A000291,th437,th224
DR0224-25A000317,th437,th224
DR0224-25A000474,th437,th224
DR0224-25A000311,th437,th224
DR0224-25A000292,th437,th224
DR0224-25A000309,th437,th224
DR0224-25A000302,th437,th224
DR0224-25A000368,th437,th224
DR0224-25A000379,th437,th224
DR0224-25A000293,th437,th224
DR0224-25A000303,th437,th224
DR0224-25A000307,th437,th224
DR0224-25A000299,th437,th224
DR0224-25A000448,th437,th224
DR0224-25A000353,th437,th224
DR0224-25A000313,th437,th224
DR0224-25A000384,th437,th224
DR0224-25A000357,th437,th224
DR0224-25A000360,th437,th224
DR0224-25A000475,th437,th224
DR0224-25A000438,th437,th224
DR0224-25A000461,th437,th224
DR0224-25A000385,th437,th224
DR0224-25A000498,th437,th224
P0413-25A0000308,th214,th413
P0418-25A0000036,th214,th418
P0418-25A0000037,th429,th418
P0418-25A0000035,th429,th418
DR0418-25A000215,th435,th418
