source_debit_note_number,dest_tenant,source_tenant,purchase_issue_item_id,ucode,batch,assigned_bin,return_qunatity,amount,pre_purchase_issue_id,purchase_issue_id,purchase_issue_status
DR0214-25A003583,th213,th214,760075,W23783,TLE23027,PR0-R00-S00-574,29,7481.77,605781,726532,READY_FOR_DELIVERY
DR0214-25A003590,th213,th214,730338,I07187,NP1725,PR0-R00-S00-587,3,60.48,594416,698462,READY_FOR_DELIVERY
DR0214-25A003590,th213,th214,730346,I07386,SR0019,PR0-R00-S00-587,1,194.40,630752,698470,READY_FOR_DELIVERY
DR0214-25A003590,th213,th214,730359,O15703,G23100,PR0-R00-S00-587,1,509.61,646921,698483,READY_FOR_DELIVERY
DR0214-25A003590,th213,th214,730360,051580,BT00893,PR0-R00-S00-587,1,209.44,649252,698484,READY_FOR_DELIVERY
DR0214-25A003692,th213,th214,697827,248438,TPJ0092,PR0-R00-S00-721,2,148.36,622350,667104,READY_FOR_DELIVERY
DR0214-25A003599,th213,th214,739728,092310,XC23029,PR0-R00-S00-602,1,106.55,673769,706189,READY_FOR_DELIVERY
DR0214-25A003535,th213,th214,739797,193662,DJAI34,PR0-R00-S00-555,1,50.90,672960,706258,READY_FOR_DELIVERY
DR0214-25A003582,th213,th214,760091,109145,LB224,PR0-R00-S00-573,5,75.26,654816,726548,READY_FOR_DELIVERY
DR0214-25A003652,th213,th214,716882,I35699,NYTD063,PR0-R00-S00-657,1,79.90,632600,686140,READY_FOR_DELIVERY
DR0214-25A003561,th213,th214,758744,207389,36HPW005,PR0-R00-S00-571,6,136.95,679886,725201,READY_FOR_DELIVERY
DR0214-25A003561,th213,th214,760150,T68582,A6MMW002,PR0-R00-S00-571,1,101.14,682472,726607,READY_FOR_DELIVERY
DR0214-25A003604,th213,th214,734368,168230,203MBAP2,PR0-R00-S00-608,1,41.15,633805,702491,READY_FOR_DELIVERY
DR0214-25A003604,th213,th214,734370,168230,510MBAP2,PR0-R00-S00-608,1,37.32,647727,702493,READY_FOR_DELIVERY
DR0214-25A003656,th213,th214,734386,168220,201CPAN2,PR0-R00-S00-667,1,29.86,634338,702509,READY_FOR_DELIVERY
DR0214-25A003656,th213,th214,734387,168220,202CPAN2,PR0-R00-S00-667,1,29.86,634864,702510,READY_FOR_DELIVERY
DR0214-25A003656,th213,th214,734388,168210,204CPAM2,PR0-R00-S00-667,1,9.12,638030,702511,READY_FOR_DELIVERY
DR0214-25A003656,th213,th214,734389,168220,202CPAN2,PR0-R00-S00-667,1,29.86,638967,702512,READY_FOR_DELIVERY
DR0224-25A000249,th437,th224,813746,O51153,SS24020,PR1-R01-S01-045,2,134.24,531202,773293,READY_FOR_DELIVERY
DR0224-25A000291,th437,th224,817558,S81424,LGM23032,PR1-R01-S01-276,2,138.14,523636,776545,READY_FOR_DELIVERY
