tenant,purchase_issue_item_id,ucode,batch,assigned_bin,return_quantity,amount,pre_purchase_issue_id,purchase_issue_id,purchase_issue_status
th205,342217,094925,JC-007,PR1-R07-S04-002,2,172.37,,306350,DISPATCH_READY
th205,342347,I10143,2911,PR1-R07-S04-002,1,150.08,,306480,DISPATCH_READY
th205,342397,Y72912,TW-HG-01-0823,PR1-R07-S04-002,1,236.06,,306530,DISPATCH_READY
th214,683113,H12756,6843,,5,0.00,616990,653137,dormant
th214,683118,W53806,1903116,,1,0.00,616979,653137,dormant
th214,683119,373863,PT2208880,,1,0.00,616978,653137,dormant
th214,683122,L58032,GP20001A,,1,0.00,616975,653137,dormant
th214,692860,220831,RNR30805,,6,492.31,614804,662533,READY_FOR_RACKING
th214,696792,R26764,SPT-36407,,10,630.00,632125,666257,pending
th214,696794,R26764,SPT-36407,,3,189.00,632124,666257,pending
th214,696795,R26764,SPT-36407,,1,63.00,632123,666257,pending
th214,707669,184330,2208000326,,1,52.99,607955,676935,READY_FOR_RACKING
th214,716187,273160,SDR-23019,PR0-R00-S00-910,2,274.02,643764,685445,DISPATCH_READY
th214,716617,F36047,220991,PR0-R00-S00-966,1,197.44,596955,685875,DISPATCH_READY
th214,716968,N51238,P2AEW002,PR0-R00-S00-1329,5,628.32,629583,686226,DISPATCH_READY
th214,717113,I37515,2I23100,PR0-R00-S00-804,1,243.04,626821,686371,DISPATCH_READY
th214,717114,U17258,ZCN3C06,PR0-R00-S00-804,1,139.59,629492,686372,DISPATCH_READY
th214,717115,I03601,MT230472,PR0-R00-S00-804,1,150.53,639154,686373,DISPATCH_READY
th214,714782,I15593,N2200642,,1,216.72,607783,684043,READY_FOR_RACKING
th214,717188,X35257,MV014,,1,38.22,564907,686446,READY_FOR_RACKING
th214,717189,X35257,MV014,PR0-R00-S00-825,1,38.22,573825,686447,DISPATCH_READY
th214,717190,X35257,MV013-,PR0-R00-S00-825,1,38.22,575458,686448,DISPATCH_READY
th214,717191,X35257,MV004-,PR0-R00-S00-825,1,38.22,575459,686449,DISPATCH_READY
th214,717192,X35257,MV014,PR0-R00-S00-825,1,38.22,594336,686450,DISPATCH_READY
th214,717193,X35257,MV012,,9,343.98,608246,686451,READY_FOR_RACKING
th214,717194,X35257,MV015-,PR0-R00-S00-825,1,38.22,620922,686452,DISPATCH_READY
th214,717195,X35257,MV004-,PR0-R00-S00-825,4,152.88,622623,686453,DISPATCH_READY
th214,717196,X35257,MV014,PR0-R00-S00-825,1,38.22,625789,686454,DISPATCH_READY
th214,717197,X35257,MV014,PR0-R00-S00-825,1,38.22,651477,686455,DISPATCH_READY
th214,715057,N16824,1HT7275,,1,120.74,501134,684315,READY_FOR_RACKING
th214,715245,N16824,1HT-7275,,2,221.76,640198,684503,READY_FOR_RACKING
th214,725252,F69080,WDT-623,,1,69.50,666162,694174,pending
th214,723886,J11889,EE230036,,1,130.18,662587,693104,pending
th214,737021,S01767,GWK180004,,2,0.00,677974,704634,dormant
th214,734385,168210,203CPAM2,,1,8.96,517828,702508,READY_FOR_RACKING
th214,730336,Q25671,58048MN2D,,1,475.20,477074,698460,READY_FOR_RACKING
th214,734361,Y91071,UN182092,PR0-R00-S00-883,1,52.68,622965,702484,DISPATCH_READY
th214,734362,335022,UN114069,PR0-R00-S00-883,1,100.80,623366,702485,DISPATCH_READY
th214,734363,123760,N129,PR0-R00-S00-883,1,128.80,624990,702486,DISPATCH_READY
th214,734364,153175,UN112018,PR0-R00-S00-883,1,136.45,634391,702487,DISPATCH_READY
th214,734365,123760,N129,PR0-R00-S00-883,1,128.80,635150,702488,DISPATCH_READY
th214,734383,185560,T220037,PR0-R00-S00-961,1,39.01,622739,702506,DISPATCH_READY
th214,739774,O66972,EC23031A,PR0-R00-S00-804,1,317.52,673385,706235,DISPATCH_READY
th214,758205,D46619,K2402156,,1,62.16,614003,724662,READY_FOR_RACKING
th214,758983,B16810,G23-0058K,PR0-R00-S00-859,1,61.41,645198,725440,DISPATCH_READY
th214,759479,F13360,23442459,,1,121.17,665133,725936,READY_FOR_RACKING
th214,759510,O68759,5JAIW091,,1,88.00,573511,725967,READY_FOR_RACKING
th214,759516,O68759,5JAIW091,,1,88.00,594427,725973,READY_FOR_RACKING
th214,759787,077430,SA31960,,1,296.93,654901,726244,READY_FOR_RACKING
th214,759887,I03601,MT230661,PR0-R00-S00-804,1,150.53,660782,726344,DISPATCH_READY
th214,760383,I37515,2E24159,PR0-R00-S00-804,1,243.04,676033,726840,DISPATCH_READY
th214,760384,I37515,2E24159,PR0-R00-S00-804,1,243.04,676860,726841,DISPATCH_READY
th214,761387,224276,TPJ0028,,2,317.92,607980,727842,READY_FOR_RACKING
th214,761479,I30430,SP23003,,1,82.60,673055,727934,READY_FOR_RACKING
th214,818787,A73522,AOT23913B,PR0-R00-S00-724,1,46.80,602970,783918,DISPATCH_READY
th224,839140,193180,DFF1998A,PR1-R01-S01-350,20,2001.66,527157,793650,DISPATCH_READY
th224,839142,193180,DFF1998A,PR1-R01-S01-350,1,100.08,527158,793652,DISPATCH_READY
th224,747382,240865,014B056,,5,559.44,,709974,DISPATCH_READY
th402,92903,C79526,PXC0005,PR2-R01-S01-265,1,465.49,106016,88790,DISPATCH_READY
th402,92907,C79526,PXA0032,PR2-R01-S01-265,2,850.44,106018,88794,DISPATCH_READY
th402,93122,047516,SXE0384A,PR2-R01-S01-015,2,227.27,106787,89009,DISPATCH_READY
th402,93126,194563,SIE0474A,PR2-R01-S01-015,1,273.60,106788,89013,DISPATCH_READY
th402,93060,047516,SXG0451A,PR2-R01-S01-015,1,121.08,106824,88947,DISPATCH_READY
th402,93166,I09366,GKE1359B,PR2-R01-S01-265,3,787.21,107627,89053,DISPATCH_READY
th402,93283,175360,GTD1206A,PR2-R01-S01-265,2,152.86,107823,89170,DISPATCH_READY
th402,93324,175360,GTE1545A,PR2-R01-S01-265,4,334.52,107867,89211,DISPATCH_READY
th402,93229,X02365,SMST-23346,PR2-R01-S01-202,1,1021.06,105598,89116,DISPATCH_READY
th402,95335,W07339,SIE2515A,PR2-R01-S01-265,2,191.99,113568,90853,DISPATCH_READY
th402,95353,P26028,SIE1750A,PR2-R01-S01-008,1,173.34,113578,90871,DISPATCH_READY
th402,95562,Z99009,DRL24K07,,58,3267.49,105621,91080,READY_FOR_RACKING
th402,95622,Z67165,TFI040923,PR2-R01-S01-136,2,776.16,112973,91140,DISPATCH_READY
th402,95740,195953,355A030,PR2-R01-S01-022,1,17.78,104337,91258,DISPATCH_READY
th402,95805,254159,XBA0031,PR2-R01-S01-015,1,211.34,110889,91322,DISPATCH_READY
th402,95646,281724,PNT24012ES,PR2-R01-S01-021,1,80.64,105633,91164,DISPATCH_READY
th402,95660,037325,M4644M2,,1,571.97,95765,91178,READY_FOR_RACKING
th402,95717,217634,RPT24001C,PR2-R01-S01-027,1,144.36,105625,91235,DISPATCH_READY
th402,95726,254159,XBA0031,PR2-R01-S01-265,1,211.34,113479,91244,DISPATCH_READY
th402,95967,228015,8020315,,1,4230.24,114015,91484,READY_FOR_RACKING
th402,95981,J10664,L0722406A,PR2-R01-S01-082,1,35.18,111193,91498,DISPATCH_READY
th406,19494,137315,57050MN1D,,1,726.18,,14133,READY_FOR_RACKING
th406,19521,I32878,2T23031,,1,221.04,,14160,READY_FOR_RACKING
th406,19529,T04782,A04384,PR1-R01-S01-013,1,568.70,,14168,RACKING_IN_PROGRESS
th406,19586,271382,BT00841,PR1-R01-S01-014,1,198.90,,14225,RACKING_IN_PROGRESS
th406,19636,I04958,42930453J1,,1,756.88,,14275,READY_FOR_RACKING
th406,19707,I01800,3145C59900,,3,34.57,,14346,READY_FOR_RACKING
th406,19765,227163,KEO2301A,,1,65.52,,14404,READY_FOR_RACKING
th406,19835,170254,MTD2264A,,1,106.86,,14474,READY_FOR_RACKING
th406,19348,W34462,BD0016,,2,141.59,,13987,READY_FOR_RACKING
th406,20187,227163,KEO2301A,,1,65.52,,14826,READY_FOR_RACKING
th406,20214,B54479,4M60220,,1,10.98,,14853,READY_FOR_RACKING
th406,19899,A07083,SCZ200323,,1,213.84,,14538,READY_FOR_RACKING
th407,32403,C33224,V8EIV030,PR1-R01-S01-002,20,453.00,22758,21453,DISPATCH_READY
th407,31140,192741,GMJ72033BJ,PR1-R01-S01-025,1,27.62,20191,20399,DISPATCH_READY
th407,31141,192741,GMJ72033BJ,PR1-R01-S01-025,1,27.62,20236,20400,DISPATCH_READY
th407,31142,192741,GMJ72033BJ,PR1-R01-S01-025,1,27.62,20366,20401,DISPATCH_READY
th409,46697,P80111,ML240534,PR1-R01-S01-179,7,90.16,26629,27844,DISPATCH_READY
th409,46699,P80111,ML240534,PR1-R01-S01-179,1,12.88,26631,27846,DISPATCH_READY
th411,281129,Z82668,GTF2694A,PR0-R03-S05-003,1,210.39,205911,200892,DISPATCH_READY
th411,274729,186917,GCB0003,PR0-R19-S01-001,5,651.62,203931,194501,DISPATCH_READY
th425,436681,B31988,CD230195,,3,141.12,,148934,READY_FOR_RACKING
th425,438788,069905,GEH0174,,4,1147.51,,151039,READY_FOR_RACKING
th425,464623,263124,252200895,PR1-R01-S01-250,1,107.22,166806,176837,RACKING_IN_PROGRESS
th425,466634,085635,EKK051006AS,PR1-R01-S01-250,1,65.71,172443,178848,RACKING_IN_PROGRESS
th425,473602,223182,132823043,,1,151.58,168114,184764,READY_FOR_RACKING
th425,473607,Q02139,PGNS0002,,11,1464.60,173359,184769,READY_FOR_RACKING
th425,473616,Z62045,ZRB0055,,1,257.63,175183,184778,READY_FOR_RACKING
th425,474443,270428,PHMAQ101,,3,357.54,175017,185604,READY_FOR_RACKING
th425,474445,363875,V238201,,3,306.13,175178,185606,READY_FOR_RACKING
th425,475661,O46236,PTFY0060,PR1-R01-S01-283,10,1266.16,169262,186711,RACKING_IN_PROGRESS
th427,1318197,L60405,EMV231467C,,5,702.02,491338,587839,pending
th429,38376,267475,EFT-072309,,1,16.56,11591,35385,READY_FOR_RACKING
th429,38390,267476,EFT-062405,,1,31.00,17384,35399,READY_FOR_RACKING
th435,754,004935,51240199,,5,288.79,,421,DISPATCH_READY
