tenant,purchase_issue_item_id,ucode,batch,assigned_bin,return_quantity,amount,pre_purchase_issue_id,purchase_issue_id,purchase_issue_status,Tray
th205,342217,094925,JC-007,PR1-R07-S04-002,2,172.37,"300,641",306350,DISPATCH_READY,TR-35218
th205,342347,I10143,2911,PR1-R07-S04-002,1,150.08,279642,306480,DISPATCH_READY,TR-35218
th205,342397,Y72912,TW-HG-01-0823,PR1-R07-S04-002,1,236.06,296224,306530,DISPATCH_READY,TR-35218
th214,683113,H12756,6843,,5,0.00,616990,653137,dormant,No
th214,683118,W53806,1903116,,1,0.00,616979,653137,dormant,No
th214,683119,373863,PT2208880,,1,0.00,616978,653137,dormant,No
th214,683122,L58032,GP20001A,,1,0.00,616975,653137,dormant,No
th214,692860,220831,RNR30805,,6,492.31,614804,662533,READY_FOR_RACKING,No
th214,717188,X35257,MV014,,1,38.22,564907,686446,READY_FOR_RACKING,No
th214,717193,X35257,MV012,,9,343.98,608246,686451,READY_FOR_RACKING,No
th214,714782,I15593,N2200642,,1,216.72,607783,684043,READY_FOR_RACKING,No
th214,707669,184330,2208000326,,1,52.99,607955,676935,READY_FOR_RACKING,No
th214,715057,N16824,1HT7275,,1,120.74,501134,684315,READY_FOR_RACKING,TR-120823
th214,715245,N16824,1HT-7275,,2,221.76,640198,684503,READY_FOR_RACKING,No
th214,730336,Q25671,58048MN2D,,1,475.20,477074,698460,READY_FOR_RACKING,No
th214,734385,168210,203CPAM2,,1,8.96,517828,702508,READY_FOR_RACKING,No
th214,737021,S01767,GWK180004,,2,144.64,677974,704634,pending,No
th214,758205,D46619,K2402156,,1,62.16,614003,724662,READY_FOR_RACKING,No
th214,759479,F13360,23442459,,1,121.17,665133,725936,READY_FOR_RACKING,No
th214,759510,O68759,5JAIW091,,1,88.00,573511,725967,READY_FOR_RACKING,No
th214,759516,O68759,5JAIW091,,1,88.00,594427,725973,READY_FOR_RACKING,No
th214,759787,077430,SA31960,,1,296.93,654901,726244,READY_FOR_RACKING,No
th214,761387,224276,TPJ0028,,2,317.92,607980,727842,READY_FOR_RACKING,No
th214,761479,I30430,SP23003,,1,82.60,673055,727934,READY_FOR_RACKING,No
th214,818787,A73522,AOT23913B,PR0-R00-S00-724,1,46.80,602970,783918,DISPATCH_READY,No
th224,747382,240865,014B056,,5,559.44,,709974,DISPATCH_READY,TR-94363
th224,809388,R76366,PIPT25024,,1,56.72,517486,769771,READY_FOR_RACKING,
th224,809553,E62848,ALO24026MB,,2,33.60,520162,769936,READY_FOR_RACKING,
th224,809573,V92539,JKFD25003,,2,30.80,516873,769956,READY_FOR_RACKING,
th224,817916,114756,MK1AK332,PR1-R01-S01-104,1,116.74,517691,776903,DISPATCH_READY,TR-94363
th224,819880,046336,591P2402,PR1-R01-S01-008,2,180.01,514912,778839,DISPATCH_READY,TR-94363
th224,839140,193180,DFF1998A,PR1-R01-S01-350,20,"2,001.66",527157,793650,DISPATCH_READY,TR-94363
th224,839142,193180,DFF1998A,PR1-R01-S01-350,1,100.08,527158,793652,DISPATCH_READY,TR-94363
th224,839360,M72826,776SD2404F,PR1-R01-S01-008,4,"2,591.99",528063,793870,DISPATCH_READY,TR-94363
th402,93060,047516,SXG0451A,PR2-R01-S01-015,1,121.08,106824,88947,DISPATCH_READY,TR-67542
th402,92903,C79526,PXC0005,PR2-R01-S01-265,1,465.49,106016,88790,DISPATCH_READY,TR-67542
th402,92907,C79526,PXA0032,PR2-R01-S01-265,2,850.44,106018,88794,DISPATCH_READY,TR-67542
th402,93229,X02365,SMST-23346,PR2-R01-S01-202,1,"1,021.06",105598,89116,DISPATCH_READY,TR-67542
th402,93283,175360,GTD1206A,PR2-R01-S01-265,2,152.86,107823,89170,DISPATCH_READY,TR-67542
th402,93122,047516,SXE0384A,PR2-R01-S01-015,2,227.27,106787,89009,DISPATCH_READY,TR-67542
th402,93126,194563,SIE0474A,PR2-R01-S01-015,1,273.60,106788,89013,DISPATCH_READY,TR-67542
