source_debit_note_number,dest_tenant,source_tenant,purchase_issue_item_id,ucode,batch,assigned_bin,return_qunatity,amount,pre_purchase_issue_id,purchase_issue_id,purchase_issue_status
DR0425-25A000149,th223,th425,468955,N38157,MT241066,PR1-R01-S01-312,4,374.39,180185,180680,READY_FOR_DELIVERY
DR0214-25A004460,th213,th214,737021,S01767,GWK180004,PR0-R00-S00-241,2,144.64,677974,704634,READY_FOR_DELIVERY
P0213-25A0000067,th429,th213,84763,365696,T23010,,1,264.00,,47212,READY_FOR_DELIVERY
DR0425-25A000148,th223,th425,468244,S52662,FC23132,PR1-R01-S01-248,5,613.20,178728,180397,READY_FOR_DELIVERY
P0214-25A0002610,th213,th214,818787,A73522,AOT23913B,PR0-R00-S00-724,1,41.79,602970,783918,READY_FOR_DELIVERY
DR0224-25A000514,th437,th224,851199,326115,D843235,PR1-R01-S01-450,1,4673.12,558529,802805,READY_FOR_DELIVERY
DR0224-25A000514,th437,th224,851315,G06902,GSL40422,PR1-R01-S01-450,1,20.06,579675,802921,READY_FOR_DELIVERY
DR0214-25A004341,th435,th214,758205,D46619,K2402156,PR0-R00-S00-111,1,62.16,614003,724662,READY_FOR_DELIVERY
DR0224-25A000727,th437,th224,855752,024255,G29H,PR1-R01-S01-248,4,112.58,525290,807308,READY_FOR_DELIVERY
DR0224-25A000727,th437,th224,855786,255148,824D054,PR1-R01-S01-248,1,135.69,554461,807342,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,871161,P26899,606E2309,,3,96.30,525741,778862,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,871162,P26899,606E2309,,9,288.89,525741,778862,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,871163,P26899,606E2309,,9,288.89,525741,778862,READY_FOR_DELIVERY
DR0402-25A000272,th400,th402,101015,W38853,I403374,PR2-R01-S01-030,1,395.28,96763,96173,DELIVERY_CANCELLED
DR0224-25A000600,th223,th224,851466,036170,ZJK0115,PR1-R01-S01-129,2,131.40,556269,803070,READY_FOR_DELIVERY
DR0425-25A000150,ar927,th425,464623,263124,252200895,PR1-R01-S01-250,1,107.22,166806,176837,READY_FOR_DELIVERY
DR0425-25A000150,ar927,th425,466634,085635,EKK051006AS,PR1-R01-S01-250,1,65.71,172443,178848,READY_FOR_DELIVERY
