source_debit_note_number,dest_tenant,source_tenant,purchase_issue_id,invoice_id,invoice_no,invoice_sequence_type,pr_type,invoice_date,invoice_tenant,is_invoice_tenant_same,purchase_issue_status
DR0213-25A000022,th435,th213,44019,79502,DP-22-456500,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 06:38:32,,False,READY_FOR_DELIVERY
DR0213-25A000022,th435,th213,44020,79359,EA-23-732450,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 06:38:32,,False,READY_FOR_DELIVERY
DR0213-25A000022,th435,th213,44021,97719,P210-23-00000995,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 06:38:32,,False,READY_FOR_DELIVERY
DR0213-25A000022,th435,th213,44022,109906,AR27-23-279,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 06:38:32,,False,READY_FOR_DELIVERY
DR0213-25A000023,th435,th213,44397,83105,EA-23-739983,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 07:49:44,,False,READY_FOR_DELIVERY
DR0213-25A000024,th435,th213,44913,68081,5613026060,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 09:46:06,,False,READY_FOR_DELIVERY
DR0213-25A000025,th435,th213,44914,78036,DP-23-43864,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 09:48:08,,False,READY_FOR_DELIVERY
DR0213-25A000026,th435,th213,45122,76461,DP-22-285623,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 11:05:28,,False,READY_FOR_DELIVERY
DR0213-25A000026,th435,th213,45123,77803,DP-23-190963,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 11:05:28,,False,READY_FOR_DELIVERY
DR0213-25A000026,th435,th213,45124,75944,DP-22-210668,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 11:05:28,,False,READY_FOR_DELIVERY
DR0213-25A000026,th435,th213,45125,108106,DP-22-110721,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 11:05:28,,False,READY_FOR_DELIVERY
DR0213-25A000026,th435,th213,45126,99091,S/78034,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 11:05:28,,False,READY_FOR_DELIVERY
DR0213-25A000026,th435,th213,45127,78199,DP-23-243940,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 11:05:28,,False,READY_FOR_DELIVERY
DR0213-25A000026,th435,th213,45128,73709,DP-23-109269,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 11:05:28,,False,READY_FOR_DELIVERY
DR0213-25A000026,th435,th213,45129,79814,DP-23-376772,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 11:05:28,,False,READY_FOR_DELIVERY
DR0213-25A000026,th435,th213,45130,79311,DP-23-388705,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 11:05:28,,False,READY_FOR_DELIVERY
DR0213-25A000026,th435,th213,45131,96237,S/97300,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 11:05:28,,False,READY_FOR_DELIVERY
DR0213-25A000026,th435,th213,45132,73016,DP-23-109200,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 11:05:28,,False,READY_FOR_DELIVERY
DR0213-25A000026,th435,th213,45133,72999,DP-23-109134,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 11:05:28,,False,READY_FOR_DELIVERY
DR0213-25A000026,th435,th213,45134,99729,S/27224,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 11:05:28,,False,READY_FOR_DELIVERY
DR0213-25A000026,th435,th213,45135,78423,DP-23-444753,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 11:05:28,,False,READY_FOR_DELIVERY
DR0213-25A000026,th435,th213,45136,103863,TI/37989,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-14 11:05:28,,False,READY_FOR_DELIVERY
P0213-25A0000047,th429,th213,43775,86265,EA-22-941528,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 06:02:16,,False,READY_FOR_DELIVERY
P0213-25A0000047,th429,th213,43776,81740,EA-23-925284,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 06:02:16,,False,READY_FOR_DELIVERY
P0213-25A0000047,th429,th213,43777,79429,EA-23-689362,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 06:02:16,,False,READY_FOR_DELIVERY
P0213-25A0000047,th429,th213,43778,78044,EA-23-1327356,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 06:02:16,,False,READY_FOR_DELIVERY
P0213-25A0000047,th429,th213,43779,109873,EA-23-1643626,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 06:02:16,,False,READY_FOR_DELIVERY
P0213-25A0000047,th429,th213,43780,78998,EA-23-1182438,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 06:02:16,,False,READY_FOR_DELIVERY
P0213-25A0000047,th429,th213,43781,79129,EA-23-1086932,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 06:02:16,,False,READY_FOR_DELIVERY
P0213-25A0000047,th429,th213,43782,78436,EA-23-1560821,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 06:02:16,,False,READY_FOR_DELIVERY
P0213-25A0000047,th429,th213,43783,77927,EA-23-1353069,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 06:02:16,,False,READY_FOR_DELIVERY
P0213-25A0000047,th429,th213,43784,30333,EA-24-243305,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 06:02:16,,False,READY_FOR_DELIVERY
P0213-25A0000047,th429,th213,43785,79648,EA-23-1735045,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 06:02:16,,False,READY_FOR_DELIVERY
P0213-25A0000047,th429,th213,43786,96020,MP-22-68217,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 06:02:16,,False,READY_FOR_DELIVERY
P0213-25A0000048,th429,th213,43997,80164,EA-22-1485513,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 06:31:40,,False,READY_FOR_DELIVERY
P0213-25A0000048,th429,th213,43998,108059,EA-22-1741501,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 06:31:40,,False,READY_FOR_DELIVERY
P0213-25A0000048,th429,th213,43999,79514,EA-22-1706126,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 06:31:40,,False,READY_FOR_DELIVERY
P0213-25A0000049,th429,th213,44017,79108,EA-23-602102,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 06:34:52,,False,READY_FOR_DELIVERY
P0213-25A0000050,th429,th213,44557,76509,EA-23-395247,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 08:35:31,,False,READY_FOR_DELIVERY
P0213-25A0000050,th429,th213,44558,78586,EA-23-1545235,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 08:35:31,,False,READY_FOR_DELIVERY
P0213-25A0000051,th429,th213,44577,78598,EA-23-1556167,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 08:44:32,,False,READY_FOR_DELIVERY
P0213-25A0000051,th429,th213,44578,79677,EA-23-1737652,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 08:44:32,,False,READY_FOR_DELIVERY
P0213-25A0000052,th429,th213,44833,82299,EA-23-838413,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 09:20:26,,False,READY_FOR_DELIVERY
P0213-25A0000052,th429,th213,44834,79803,EA-23-1633226,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-14 09:20:26,,False,READY_FOR_DELIVERY
