dest_tenant,source_tenant,purchase_issue_id,invoice_id,invoice_no,pr_type,invoice_tenant,is_invoice_tenant_same,purchase_issue_status
th403,th205,305384,514590,T0205-24A0013445,REGULAR,,False,DISPATCH_READY
th403,th205,305385,514587,T0205-24A0013402,REGULAR,,False,DISPATCH_READY
th408,th205,329266,519923,GC6493,PURCHASE_RETURN,,False,DISPATCH_READY
th214,th213,47984,125359,I25986500044,PURCHASE_RETURN,,False,dormant
th214,th213,46911,121344,SD2427171879,PURCHASE_RETURN,,False,dormant
th214,th213,46643,124166,MH0200002408,PURCHASE_RETURN,,False,dormant
th213,th214,672101,1000586,T0213-24A0003600,PURCHASE_RETURN,,False,pending
th413,th214,739893,1052073,118380-SR,PURCHASE_RETURN,,False,dormant
th414,th214,753665,1054448,T0414-24A0001457,PURCHASE_RETURN,,False,pending
th213,th214,772804,1063784,SI/240468,REGULAR,,False,DISPATCH_READY
th213,th214,772823,999727,T0214-24A0012209,REGULAR,,False,READY_FOR_RACKING
th213,th214,772824,999714,T0214-24A0014889,REGULAR,,False,READY_FOR_RACKING
th213,th214,775809,1057893,T0425-25A0002282,REGULAR,,False,DISPATCH_READY
th435,th214,779315,993287,SC-24-1535637,REGULAR,,False,DISPATCH_READY
th413,th214,783538,1020753,T0214-25A0003495,REGULAR,,False,DISPATCH_READY
th429,th214,814629,1055855,T0421-25A0000808,REGULAR,,False,READY_FOR_RACKING
th429,th214,814727,1063062,U0025687883,REGULAR,,False,READY_FOR_RACKING
th429,th214,830486,1064198,00978533,REGULAR,,False,READY_FOR_RACKING
th429,th214,830490,1064257,KR/25-26/19462,REGULAR,,False,READY_FOR_RACKING
th429,th214,830494,1058529,T0402-25A0008628,REGULAR,,False,READY_FOR_RACKING
th418,th214,836726,1030723,99728-SR,PURCHASE_RETURN,,False,dormant
th418,th214,836724,1052172,118481-SR,PURCHASE_RETURN,,False,dormant
th418,th214,836725,1052073,118380-SR,PURCHASE_RETURN,,False,dormant
