dest_tenant,source_tenant,purchase_issue_id,invoice_id,invoice_no,pr_type,invoice_tenant,is_invoice_tenant_same,purchase_issue_status
th408,th205,334244,469354,LN24021948,PURCHASE_RETURN,,False,DISPATCH_READY
ar224,th223,1116,13806,AR27-23-78,PURCHASE_RETURN,,False,DISPATCH_READY
th428,th224,821199,915305,OS0712511974,PURCHASE_RETURN,,False,DISPATCH_READY
th401,th224,821198,928554,27414-SR,PURCHASE_RETURN,,False,DISPATCH_READY
th411,th410,46998,33105,B0411-24A0103010,PURCHASE_RETURN,th410,True,READY_FOR_RACKING
th409,th410,46967,1632,VM-24-46719,PURCHASE_RETURN,th410,True,READY_FOR_RACKING
th411,th410,47004,34116,B0411-24A0168774,PURCHASE_RETURN,th410,True,READY_FOR_RACKING
th411,th410,47030,32916,B0411-24A0098835,PURCHASE_RETURN,th410,True,READY_FOR_RACKING
th411,th410,47036,32943,B0411-24A0098503,PURCHASE_RETURN,th410,True,READY_FOR_RACKING
th408,th411,223829,199682,56517-SR,PURCHASE_RETURN,,False,DISPATCH_READY
th409,th411,225643,190274,DR0409-25A000005,PURCHASE_RETURN,,False,READY_FOR_RACKING
th410,th411,225646,195238,PD0410-25A000366,PURCHASE_RETURN,,False,READY_FOR_RACKING
th410,th411,225661,195239,PD0410-25A000534,PURCHASE_RETURN,,False,READY_FOR_RACKING
th410,th411,225675,195238,PD0410-25A000366,PURCHASE_RETURN,,False,READY_FOR_RACKING
th403,th411,225727,198881,DR0403-25A000020,PURCHASE_RETURN,,False,READY_FOR_RACKING
th410,th411,225662,195238,PD0410-25A000366,PURCHASE_RETURN,,False,READY_FOR_RACKING
th410,th411,225663,195238,PD0410-25A000366,PURCHASE_RETURN,,False,READY_FOR_RACKING
th408,th411,225733,193535,DR0408-25A000001,PURCHASE_RETURN,,False,READY_FOR_RACKING
th410,th411,225855,195238,PD0410-25A000366,PURCHASE_RETURN,,False,READY_FOR_RACKING
th410,th411,225928,195238,PD0410-25A000366,PURCHASE_RETURN,,False,READY_FOR_RACKING
th410,th411,225891,195238,PD0410-25A000366,PURCHASE_RETURN,,False,READY_FOR_RACKING
th410,th411,225938,195238,PD0410-25A000366,PURCHASE_RETURN,,False,READY_FOR_RACKING
th410,th411,225963,195238,PD0410-25A000366,PURCHASE_RETURN,,False,READY_FOR_RACKING
th403,th411,225953,198881,DR0403-25A000020,PURCHASE_RETURN,,False,READY_FOR_RACKING
th410,th411,225979,195238,PD0410-25A000366,PURCHASE_RETURN,,False,READY_FOR_RACKING
th408,th411,226003,134218,V-28,PURCHASE_RETURN,,False,DISPATCH_READY
th408,th411,226005,203020,58396-SR,PURCHASE_RETURN,,False,DISPATCH_READY
th408,th411,226004,92260,SI2333102816,PURCHASE_RETURN,,False,DISPATCH_READY
th401,th413,47769,2169,B0401-24A0004024,PURCHASE_RETURN,th413,True,READY_FOR_RACKING
th214,th413,47791,18097,A0214-24A0000008,PURCHASE_RETURN,th413,True,READY_FOR_RACKING
th401,th413,47814,137,B0401-23A0032870,PURCHASE_RETURN,th413,True,dormant
ar224,th427,636515,146332,3194344077,REGULAR,th427,True,READY_FOR_RACKING
ar224,th427,636518,148491,3194345580,REGULAR,th427,True,READY_FOR_RACKING
ar224,th427,636517,148491,3194345580,REGULAR,th427,True,READY_FOR_RACKING
ar224,th427,636201,145983,31000821029,REGULAR,th427,True,READY_FOR_RACKING
ar224,th427,616473,149748,31000821837,REGULAR,th427,True,READY_FOR_RACKING
ar224,th427,636198,149869,31000821838,REGULAR,th427,True,READY_FOR_RACKING
th407,th427,720745,181284,105012-SR,PURCHASE_RETURN,,False,dormant
th407,th427,720743,171020,ARY-06-07-25-00003,PURCHASE_RETURN,,False,dormant
th407,th427,720741,178909,101401-SR,PURCHASE_RETURN,,False,dormant
th407,th427,720742,129198,48376-SR,PURCHASE_RETURN,,False,dormant
th407,th427,720744,147850,66789-SR,PURCHASE_RETURN,,False,dormant
th407,th427,720746,180850,100022-SR,PURCHASE_RETURN,,False,dormant
th417,th435,15903,45238,MH0200072910,PURCHASE_RETURN,,False,dormant
th417,th435,15904,37841,MH0123519094,PURCHASE_RETURN,,False,dormant
th999,th999,228,463,AUTO2505061426069380,PURCHASE_RETURN,,False,dormant
