source_debit_note_number,dest_tenant,source_tenant,purchase_issue_id,invoice_id,invoice_no,invoice_sequence_type,pr_type,invoice_date,invoice_tenant,is_invoice_tenant_same,purchase_issue_status
P0401-25A0000177,th408,th401,96938,53245,DR0408-25A000041,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-23 12:17:55,,False,READY_FOR_DELIVERY
P0213-25A0000070,th429,th213,48307,78039,EA-23-523589,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 14:29:37,,False,READY_FOR_DELIVERY
P0213-25A0000070,th429,th213,48308,30135,EA-24-329571,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 14:29:37,,False,READY_FOR_DELIVERY
P0213-25A0000070,th429,th213,48309,79159,EA-23-1643621,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 14:29:37,,False,READY_FOR_DELIVERY
P0213-25A0000070,th429,th213,48310,77666,EA-23-1327347,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 14:29:37,,False,READY_FOR_DELIVERY
P0213-25A0000070,th429,th213,48311,112657,EA-24-1012759,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 14:29:37,,False,READY_FOR_DELIVERY
P0213-25A0000070,th429,th213,48312,112513,EA-24-995325,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 14:29:37,,False,READY_FOR_DELIVERY
P0213-25A0000070,th429,th213,48313,112663,EA-24-1013839,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 14:29:37,,False,READY_FOR_DELIVERY
P0213-25A0000070,th429,th213,48314,78902,EA-22-1573472,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 14:29:37,,False,READY_FOR_DELIVERY
P0223-25A0000007,th427,th223,8691,94845,BT-23-1146,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-24 09:53:29,,False,READY_FOR_DELIVERY
P0223-25A0000007,th427,th223,8692,100762,BT-24-305,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-24 09:53:29,,False,READY_FOR_DELIVERY
P0223-25A0000007,th427,th223,8693,97193,BT-24-670,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-24 09:53:29,,False,READY_FOR_DELIVERY
