tenant,invoice_id,interstate,status,invoice_date,created_on,invoice_no,ucode,batch,cgst,sgst,igst
th205,531588,1,live,2025-05-28 00:00:00,2025-05-28 12:59:38,PD0418-25A000065,193227,IJ184,6.00,6.00,0.00
th205,531588,1,live,2025-05-28 00:00:00,2025-05-28 12:59:38,PD0418-25A000065,112335,MPK234017,6.00,6.00,0.00
th205,531697,1,StockHidden,2025-05-29 00:00:00,2025-05-29 07:00:14,PD0406-25A000491,I01262,J303754,6.00,6.00,0.00
th205,531899,1,live,2025-05-29 00:00:00,2025-05-29 15:10:11,PD0429-25A000654,L00974,E2302809,6.00,6.00,0.00
th205,532031,1,live,2025-05-30 00:00:00,2025-05-30 10:23:12,PD0405-25A000367,187810,N2400990,6.00,6.00,0.00
th205,532031,1,live,2025-05-30 00:00:00,2025-05-30 10:23:12,PD0405-25A000367,I00596,NFB0208,9.00,9.00,0.00
th205,532031,1,live,2025-05-30 00:00:00,2025-05-30 10:23:12,PD0405-25A000367,G72002,UA02570,6.00,6.00,0.00
th205,532031,1,live,2025-05-30 00:00:00,2025-05-30 10:23:12,PD0405-25A000367,265710,GF215001,6.00,6.00,0.00
th205,532031,1,live,2025-05-30 00:00:00,2025-05-30 10:23:12,PD0405-25A000367,N46219,MT243979,6.00,6.00,0.00
th205,532031,1,live,2025-05-30 00:00:00,2025-05-30 10:23:12,PD0405-25A000367,040195,AYC0003,6.00,6.00,0.00
th205,532070,1,StockHidden,2025-05-30 00:00:00,2025-05-30 11:13:47,U0406-25A0000001,241508,ELF8BB4001,6.00,6.00,0.00
th205,532114,1,StockHidden,2025-05-30 00:00:00,2025-05-30 12:23:14,PD0406-25A000567,I34673,063,6.00,6.00,0.00
th205,532114,1,StockHidden,2025-05-30 00:00:00,2025-05-30 12:23:14,PD0406-25A000567,W39968,804E002,9.00,9.00,0.00
th205,532114,1,StockHidden,2025-05-30 00:00:00,2025-05-30 12:23:14,PD0406-25A000567,314402,HPLC23004,6.00,6.00,0.00
th205,532263,1,live,2025-05-31 00:00:00,2025-05-31 07:12:30,PD0411-25A001479,192815,PD230601,6.00,6.00,0.00
th205,532263,1,live,2025-05-31 00:00:00,2025-05-31 07:12:30,PD0411-25A001479,069485,U302008,6.00,6.00,0.00
th205,532263,1,live,2025-05-31 00:00:00,2025-05-31 07:12:30,PD0411-25A001479,254804,E2303627,6.00,6.00,0.00
th205,532263,1,live,2025-05-31 00:00:00,2025-05-31 07:12:30,PD0411-25A001479,242659,U301897,6.00,6.00,0.00
th205,532263,1,live,2025-05-31 00:00:00,2025-05-31 07:12:30,PD0411-25A001479,254804,E2303049,6.00,6.00,0.00
th205,532783,1,live,2025-06-02 00:00:00,2025-06-02 13:32:13,U0413-25A0000002,V26490,202623015,6.00,6.00,0.00
th205,532890,1,live,2025-06-03 00:00:00,2025-06-03 05:01:40,PD0214-25A006002,B76217,D3600123,6.00,6.00,0.00
th205,532890,1,live,2025-06-03 00:00:00,2025-06-03 05:01:40,PD0214-25A006002,S05815,62230126,6.00,6.00,0.00
th205,534136,1,StockHidden,2025-06-07 00:00:00,2025-06-07 10:33:07,PD0406-25A000669,I34601,S2384311E,6.00,6.00,0.00
th205,534469,1,live,2025-06-09 00:00:00,2025-06-09 04:36:49,PD0424-25A000138,195802,A630544,6.00,6.00,0.00
th205,535339,1,StockHidden,2025-06-11 00:00:00,2025-06-11 10:02:22,PD0406-25A000800,Z39674,V3FZX021,6.00,6.00,0.00
th205,535339,1,StockHidden,2025-06-11 00:00:00,2025-06-11 10:02:22,PD0406-25A000800,153420,UTGRDA409,6.00,6.00,0.00
th205,535339,1,StockHidden,2025-06-11 00:00:00,2025-06-11 10:02:22,PD0406-25A000800,085122,UA02381,6.00,6.00,0.00
th205,535339,1,StockHidden,2025-06-11 00:00:00,2025-06-11 10:02:22,PD0406-25A000800,Z76284,LNB0155,6.00,6.00,0.00
th205,535339,1,StockHidden,2025-06-11 00:00:00,2025-06-11 10:02:22,PD0406-25A000800,240814,05240649,6.00,6.00,0.00
th205,538151,1,live,2025-06-21 00:00:00,2025-06-21 06:23:52,DR0406-25A000005,085122,UA02477,6.00,6.00,0.00
th205,538151,1,live,2025-06-21 00:00:00,2025-06-21 06:23:52,DR0406-25A000005,314587,RDAA24004,6.00,6.00,0.00
th205,538151,1,live,2025-06-21 00:00:00,2025-06-21 06:23:52,DR0406-25A000005,090006,L24267,6.00,6.00,0.00
th205,538151,1,live,2025-06-21 00:00:00,2025-06-21 06:23:52,DR0406-25A000005,175070,E41404,6.00,6.00,0.00
th205,538151,1,live,2025-06-21 00:00:00,2025-06-21 06:23:52,DR0406-25A000005,I38079,646MLBQ4,6.00,6.00,0.00
th205,538456,1,StockHidden,2025-06-22 00:00:00,2025-06-22 06:14:52,PD0406-25A000613,I38734,KXAA67,6.00,6.00,0.00
th205,538523,1,live,2025-06-22 00:00:00,2025-06-22 07:33:30,PD0401-25A000416,A52476,SLT24002,9.00,9.00,0.00
th205,538530,1,live,2025-06-22 00:00:00,2025-06-22 07:39:08,PD0405-25A000368,102040,N2500337,6.00,6.00,0.00
th205,538530,1,live,2025-06-22 00:00:00,2025-06-22 07:39:08,PD0405-25A000368,193027,SIF2561A,6.00,6.00,0.00
th205,540056,1,pending-entry,2025-06-27 00:00:00,2025-06-27 11:16:35,P0408-25A0000071,239806,05231038,6.00,6.00,0.00
th213,129558,1,live,2025-06-11 00:00:00,2025-06-11 08:38:13,PD0205-25A003177,023355,D0706323,6.00,6.00,0.00
th213,129559,1,live,2025-06-11 00:00:00,2025-06-11 08:38:22,PD0205-25A003178,I00065,I403360,6.00,6.00,0.00
th213,129560,1,live,2025-06-11 00:00:00,2025-06-11 08:38:31,PD0205-25A003179,269343,JA01091,6.00,6.00,0.00
th213,129561,1,live,2025-06-11 00:00:00,2025-06-11 08:38:40,PD0205-25A003180,275836,GT03743,6.00,6.00,0.00
th213,129562,1,live,2025-06-11 00:00:00,2025-06-11 08:38:50,PD0205-25A003181,228833,24S2GCA952,6.00,6.00,0.00
th213,129563,1,live,2025-06-11 00:00:00,2025-06-11 08:39:04,PD0205-25A003182,245230,23BC0012,6.00,6.00,0.00
th213,129564,1,live,2025-06-11 00:00:00,2025-06-11 08:39:15,PD0205-25A003183,I46231,MW123003,9.00,9.00,0.00
th213,129565,1,live,2025-06-11 00:00:00,2025-06-11 08:39:25,PD0205-25A003184,171060,TLMT2201,6.00,6.00,0.00
th213,130085,1,live,2025-06-17 00:00:00,2025-06-17 08:52:47,DR0205-25A000020,A97860,AL230201057,6.00,6.00,0.00
th213,130086,1,live,2025-06-17 00:00:00,2025-06-17 08:53:05,DR0205-25A000021,048355,D1400623,6.00,6.00,0.00
th213,130087,1,live,2025-06-17 00:00:00,2025-06-17 08:53:15,DR0205-25A000022,329511,23AT0009,6.00,6.00,0.00
th213,130090,1,live,2025-06-17 00:00:00,2025-06-17 08:53:50,DR0205-25A000025,K22830,23S2GTB181,6.00,6.00,0.00
th213,130091,1,live,2025-06-17 00:00:00,2025-06-17 08:53:59,DR0205-25A000026,207667,23461431,6.00,6.00,0.00
