source_tenant,dest_tenant,partner_detail_id,debit_note_number,invoice_sequence_type,ucode,batch,total_return_qty,total_return_amt,count_of_gst_applicable_flag
th434,th409,37891,P0434-25A0000004,DEBIT_NOTE_NUMBER,022236,2430211S,300,12820.73,2
th405,th205,6880,DR0405-25A000066,DELIVERY_CHALLAN,074475,M233,10,1240.85,2
th434,th409,37891,P0434-25A0000004,DEBIT_NOTE_NUMBER,I00175,GTF3705A,99,31326.03,2
th434,th409,37891,P0434-25A0000002,DEBIT_NOTE_NUMBER,S04683,5057C59910,240,14114.689999999999,2
th434,th409,37891,P0434-25A0000004,DEBIT_NOTE_NUMBER,255148,824D365,60,7520.860000000001,2
th421,th435,206328,DR0421-25A000005,DELIVERY_CHALLAN,P70888,259T,5,747.98,2
th421,th435,206328,DR0421-25A000007,DELIVERY_CHALLAN,I14733,ZCL24031,4,459.09000000000003,2
th421,th435,206328,DR0421-25A000024,DELIVERY_CHALLAN,I06518,24S2GCA429,12,1832.93,2
th413,th214,3449,DR0413-25A001081,DELIVERY_CHALLAN,I09426,490507D7,3,531.8199999999999,2
th401,th224,3440,DR0401-25A000029,DELIVERY_CHALLAN,196084,23461735,3,456.55,2
th407,th224,3440,PD0407-25A000553,DELIVERY_CHALLAN_NORMAL,169990,RG62240017,8,2445.6600000000003,2
th405,th427,60526,P0405-25A0000110,DEBIT_NOTE_NUMBER,193362,344E001,9,206.17000000000002,2
th405,th427,60526,DR0405-25A000071,DELIVERY_CHALLAN,Z20554,24S2GCA397,10,1059.46,2
th407,th427,60526,PD0407-25A000556,DELIVERY_CHALLAN_NORMAL,A91981,GCLE2403,4,306.03,2
th401,th427,60526,DR0401-25A000030,DELIVERY_CHALLAN,P70888,6B8R,2,309.71000000000004,2
th434,th410,37915,DR0434-25A000008,DELIVERY_CHALLAN,268507,SIF2699A,20,2224.98,2
th214,th427,60526,PD0214-25A005203,DELIVERY_CHALLAN_NORMAL,U28482,05231737,10,633.82,2
th401,th427,60526,DR0401-25A000030,DELIVERY_CHALLAN,Z86191,E16GL23316,192,29653.72,2
th401,th427,60526,DR0401-25A000030,DELIVERY_CHALLAN,068040,JKBS22003,3,165.17,2
th428,th427,60526,P0428-25A0000580,DEBIT_NOTE_NUMBER,138015,074E013,25,891.0699999999999,2
th224,th427,60526,DR0224-25A000509,DELIVERY_CHALLAN,E95276,23S2GTC671,63,9732.76,2
th421,th429,191768,DR0421-25A000012,DELIVERY_CHALLAN,I36242,11240368,21,1431.0900000000001,2
th214,th213,186028,P0214-25A0002301,DEBIT_NOTE_NUMBER,A43236,VRA23005,18,2166.34,2
th421,th429,191768,DR0421-25A000012,DELIVERY_CHALLAN,038885,24540388,4,419.33,2
th214,th213,186028,P0214-25A0002190,DEBIT_NOTE_NUMBER,329573,PMC1601,9,1983.2600000000002,2
th214,th213,186028,DR0214-25A004885,DELIVERY_CHALLAN,Y73827,MT233754,11,1537.93,2
th214,th213,186028,P0214-25A0002432,DEBIT_NOTE_NUMBER,T33913,GO71034,28,671.02,2
th214,th213,186028,P0214-25A0002326,DEBIT_NOTE_NUMBER,Z37149,LHSPC002,19,2351.23,2
th421,th429,191768,DR0421-25A000020,DELIVERY_CHALLAN,265173,11240552,21,5933.24,2
th214,th213,186028,P0214-25A0002120,DEBIT_NOTE_NUMBER,A41378,AFB23X88,23,5032.84,2
th214,th213,186028,P0214-25A0002433,DEBIT_NOTE_NUMBER,241367,SCT006,17,1145.15,2
th214,th213,186028,P0214-25A0002307,DEBIT_NOTE_NUMBER,B03442,23520596,18,1114.1399999999999,2
th421,th429,191768,DR0421-25A000020,DELIVERY_CHALLAN,I02289,S2487021E,3,489.09,2
th214,th213,186028,DR0214-25A004408,DELIVERY_CHALLAN,222309,PEA0134,15,3979.8500000000004,2
th214,th213,186028,P0214-25A0002430,DEBIT_NOTE_NUMBER,N76954,DRT24040134,16,5984.280000000001,2
th214,th213,186028,P0214-25A0002295,DEBIT_NOTE_NUMBER,N16813,PL4-0171,32,3475.63,2
th214,th213,186028,P0214-25A0002218,DEBIT_NOTE_NUMBER,J75179,PLKNHC01,19,2455.8700000000003,2
