source_debit_note_number,dest_tenant,source_tenant,cancelInvoiceQuery
P0213-25A0000031,th429,th213,UPDATE th429.inward_invoice SET status = 'CANCELLED' WHERE id = 140297 and invoice_no = 'P0213-25A0000031' and status = 'StockHidden';
DR0402-25A000076,th403,th402,UPDATE th403.inward_invoice SET status = 'CANCELLED' WHERE id = 29047 and invoice_no = 'DR0402-25A000076' and status = 'StockHidden';
P0435-25A0000025,th214,th435,UPDATE th214.inward_invoice SET status = 'CANCELLED' WHERE id = 1077802 and invoice_no = 'P0435-25A0000025' and status = 'StockHidden';
P0411-25A0000085,th403,th411,UPDATE th403.inward_invoice SET status = 'CANCELLED' WHERE id = 30258 and invoice_no = 'P0411-25A0000085' and status = 'StockHidden';
DR0428-25A000426,th224,th428,UPDATE th224.inward_invoice SET status = 'CANCELLED' WHERE id = 933529 and invoice_no = 'DR0428-25A000426' and status = 'StockHidden';
DR0401-25A000045,th425,th401,UPDATE th425.inward_invoice SET status = 'CANCELLED' WHERE id = 105617 and invoice_no = 'DR0401-25A000045' and status = 'StockHidden';
P0401-25A0000150,th428,th401,UPDATE th428.inward_invoice SET status = 'CANCELLED' WHERE id = 47787 and invoice_no = 'P0401-25A0000150' and status = 'StockHidden';
DR0428-25A000374,th224,th428,UPDATE th224.inward_invoice SET status = 'CANCELLED' WHERE id = 929994 and invoice_no = 'DR0428-25A000374' and status = 'StockHidden';
DR0224-25A000741,th437,th224,UPDATE th437.inward_invoice SET status = 'CANCELLED' WHERE id = 26542 and invoice_no = 'DR0224-25A000741' and status = 'StockHidden';
DR0401-25A000040,th424,th401,UPDATE th424.inward_invoice SET status = 'CANCELLED' WHERE id = 21048 and invoice_no = 'DR0401-25A000040' and status = 'StockHidden';
DR0411-25A000063,th402,th411,UPDATE th402.inward_invoice SET status = 'CANCELLED' WHERE id = 229781 and invoice_no = 'DR0411-25A000063' and status = 'StockHidden';
P0213-25A0000009,th429,th213,UPDATE th429.inward_invoice SET status = 'CANCELLED' WHERE id = 140275 and invoice_no = 'P0213-25A0000009' and status = 'StockHidden';
P0429-25A0000076,th435,th429,UPDATE th435.inward_invoice SET status = 'CANCELLED' WHERE id = 64631 and invoice_no = 'P0429-25A0000076' and status = 'StockHidden';
P0413-25A0000309,th429,th413,UPDATE th429.inward_invoice SET status = 'CANCELLED' WHERE id = 141872 and invoice_no = 'P0413-25A0000309' and status = 'StockHidden';
P0213-25A0000014,th429,th213,UPDATE th429.inward_invoice SET status = 'CANCELLED' WHERE id = 140280 and invoice_no = 'P0213-25A0000014' and status = 'StockHidden';
DR0435-25A000399,th214,th435,UPDATE th214.inward_invoice SET status = 'CANCELLED' WHERE id = 1076098 and invoice_no = 'DR0435-25A000399' and status = 'StockHidden';
DR0428-25A000368,th224,th428,UPDATE th224.inward_invoice SET status = 'CANCELLED' WHERE id = 929863 and invoice_no = 'DR0428-25A000368' and status = 'StockHidden';
DR0428-25A000372,th224,th428,UPDATE th224.inward_invoice SET status = 'CANCELLED' WHERE id = 929919 and invoice_no = 'DR0428-25A000372' and status = 'StockHidden';
P0429-25A0000075,th214,th429,UPDATE th214.inward_invoice SET status = 'CANCELLED' WHERE id = 1079141 and invoice_no = 'P0429-25A0000075' and status = 'StockHidden';
P0401-25A0000175,th417,th401,UPDATE th417.inward_invoice SET status = 'CANCELLED' WHERE id = 40992 and invoice_no = 'P0401-25A0000175' and status = 'StockHidden';
DR0401-25A000029,th224,th401,UPDATE th224.inward_invoice SET status = 'CANCELLED' WHERE id = 930667 and invoice_no = 'DR0401-25A000029' and status = 'StockHidden';
DR0401-25A000032,th402,th401,UPDATE th402.inward_invoice SET status = 'CANCELLED' WHERE id = 229738 and invoice_no = 'DR0401-25A000032' and status = 'StockHidden';
P0425-25A0000081,th214,th425,UPDATE th214.inward_invoice SET status = 'CANCELLED' WHERE id = 1077753 and invoice_no = 'P0425-25A0000081' and status = 'StockHidden';
DR0213-25A000019,th435,th213,UPDATE th435.inward_invoice SET status = 'CANCELLED' WHERE id = 63695 and invoice_no = 'DR0213-25A000019' and status = 'StockHidden';
P0401-25A0000171,th424,th401,UPDATE th424.inward_invoice SET status = 'CANCELLED' WHERE id = 21046 and invoice_no = 'P0401-25A0000171' and status = 'StockHidden';
P0425-25A0000100,th205,th425,UPDATE th205.inward_invoice SET status = 'CANCELLED' WHERE id = 555494 and invoice_no = 'P0425-25A0000100' and status = 'StockHidden';
P0435-25A0000039,th214,th435,UPDATE th214.inward_invoice SET status = 'CANCELLED' WHERE id = 1078394 and invoice_no = 'P0435-25A0000039' and status = 'StockHidden';
P0435-25A0000035,th429,th435,UPDATE th429.inward_invoice SET status = 'CANCELLED' WHERE id = 142764 and invoice_no = 'P0435-25A0000035' and status = 'StockHidden';
P0401-25A0000181,th224,th401,UPDATE th224.inward_invoice SET status = 'CANCELLED' WHERE id = 933228 and invoice_no = 'P0401-25A0000181' and status = 'StockHidden';
DR0403-25A000021,th411,th403,UPDATE th411.inward_invoice SET status = 'CANCELLED' WHERE id = 201614 and invoice_no = 'DR0403-25A000021' and status = 'StockHidden';
P0401-25A0000179,th425,th401,UPDATE th425.inward_invoice SET status = 'CANCELLED' WHERE id = 105618 and invoice_no = 'P0401-25A0000179' and status = 'StockHidden';
P0435-25A0000041,th214,th435,UPDATE th214.inward_invoice SET status = 'CANCELLED' WHERE id = 1078399 and invoice_no = 'P0435-25A0000041' and status = 'StockHidden';
P0435-25A0000040,th429,th435,UPDATE th429.inward_invoice SET status = 'CANCELLED' WHERE id = 142768 and invoice_no = 'P0435-25A0000040' and status = 'StockHidden';
P0435-25A0000026,th429,th435,UPDATE th429.inward_invoice SET status = 'CANCELLED' WHERE id = 142553 and invoice_no = 'P0435-25A0000026' and status = 'StockHidden';
P0213-25A0000037,th429,th213,UPDATE th429.inward_invoice SET status = 'CANCELLED' WHERE id = 140303 and invoice_no = 'P0213-25A0000037' and status = 'StockHidden';
DR0409-25A000002,th411,th409,UPDATE th411.inward_invoice SET status = 'CANCELLED' WHERE id = 199962 and invoice_no = 'DR0409-25A000002' and status = 'StockHidden';
P0401-25A0000178,th411,th401,UPDATE th411.inward_invoice SET status = 'CANCELLED' WHERE id = 202602 and invoice_no = 'P0401-25A0000178' and status = 'StockHidden';
DR0224-25A000148,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70575 and invoice_no = 'DR0224-25A000148' and status = 'StockHidden';
P0224-25A0000128,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70427 and invoice_no = 'P0224-25A0000128' and status = 'StockHidden';
P0401-25A0000163,th205,th401,UPDATE th205.inward_invoice SET status = 'CANCELLED' WHERE id = 555361 and invoice_no = 'P0401-25A0000163' and status = 'StockHidden';
DR0224-25A000070,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70346 and invoice_no = 'DR0224-25A000070' and status = 'StockHidden';
DR0413-25A000965,th429,th413,UPDATE th429.inward_invoice SET status = 'CANCELLED' WHERE id = 134485 and invoice_no = 'DR0413-25A000965' and status = 'StockHidden';
DR0224-25A000075,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70358 and invoice_no = 'DR0224-25A000075' and status = 'StockHidden';
PD0407-25A000577,th223,th407,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69249 and invoice_no = 'PD0407-25A000577' and status = 'StockHidden';
