source_debit_note_number,source_tenant,dest_tenant,updateInvoiceDetailsQuery,updateUnifiedVendorQuery,deletePurchaseIssueInvoiceQuery
P0413-25A0000262,th413,th429,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 45813 AND invoice_id = 37021 AND invoice_no = 'T0429-25A0001606';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 45813 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 45813 AND invoice_id = 37021 AND invoice_no = 'T0429-25A0001606';
P0413-25A0000262,th413,th429,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 45815 AND invoice_id = 25988 AND invoice_no = 'T0429-25A0001720';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 45815 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 45815 AND invoice_id = 25988 AND invoice_no = 'T0429-25A0001720';
P0413-25A0000244,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 45596 AND invoice_id = 25590 AND invoice_no = 'T0214-25A0008402';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 45596 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 45596 AND invoice_id = 25590 AND invoice_no = 'T0214-25A0008402';
P0417-25A0000046,th417,th429,"UPDATE th417.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 24499 AND invoice_id = 34822 AND invoice_no = 'T0214-25A0005499';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 24499 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th417';",DELETE FROM th417.purchase_issue_invoice WHERE purchase_issue_id = 24499 AND invoice_id = 34822 AND invoice_no = 'T0214-25A0005499';
P0417-25A0000046,th417,th429,"UPDATE th417.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 25640 AND invoice_id = 34871 AND invoice_no = 'T0214-25A0005611';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 25640 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th417';",DELETE FROM th417.purchase_issue_invoice WHERE purchase_issue_id = 25640 AND invoice_id = 34871 AND invoice_no = 'T0214-25A0005611';
P0417-25A0000046,th417,th429,"UPDATE th417.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 25656 AND invoice_id = 35249 AND invoice_no = 'T0214-25A0006615';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 25656 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th417';",DELETE FROM th417.purchase_issue_invoice WHERE purchase_issue_id = 25656 AND invoice_id = 35249 AND invoice_no = 'T0214-25A0006615';
P0417-25A0000046,th417,th429,"UPDATE th417.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 25916 AND invoice_id = 34475 AND invoice_no = 'T0214-25A0004741';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 25916 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th417';",DELETE FROM th417.purchase_issue_invoice WHERE purchase_issue_id = 25916 AND invoice_id = 34475 AND invoice_no = 'T0214-25A0004741';
P0435-25A0000018,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 3531 AND invoice_id = 24287 AND invoice_no = 'T0214-25A0005952';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 3531 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 3531 AND invoice_id = 24287 AND invoice_no = 'T0214-25A0005952';
P0435-25A0000018,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 4795 AND invoice_id = 34710 AND invoice_no = 'T0214-25A0005280';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 4795 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 4795 AND invoice_id = 34710 AND invoice_no = 'T0214-25A0005280';
P0435-25A0000018,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 4829 AND invoice_id = 38758 AND invoice_no = 'T0214-25A0005227';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 4829 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 4829 AND invoice_id = 38758 AND invoice_no = 'T0214-25A0005227';
