ucode,batch,taxable_amount,total_amount,date,location,date_span,gdnreturndate,invoice_no,dispatching_branch,transactionno,transactiontype,medicinename,hsncode,qty,pack_quantity,gst,epr,purchase_rate,taxamount,flag,warehouseid,invoice,linenum,postingdate,gdndate,itemtypeid,txt,currencycode,department,profitcentre,segment,warehousegstnumber,customerid,customergstnumber,company,wareshouse_city_id,vendor_city_id,credit_note_number,e_invoicing_irn_number,e_invoicing_date,debitnote_status,dest_company,report_type,eway_bill_needed,einvoice_needed,gst_state,customer_status,original invoice no,original invoice,igst_value,cgst_value,sgst_value,posting profile,customer_pdi,dt
223966,U200622,163.02,182.5824,2025-08-01,Nagpur_ASDN,Aug-2025,2025-08-01,DR0407-25A000003,ASHIRWAD DISTRIBUTORS (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-RPR-TSC),41737,GDN Return Mercury,HEADSET STRIP OF 2 TABLETS,30049099,2,2 UNITS,12,81.51,81.51,19.56,NORMAL,th413,DR0407-25A00000341737,194594,2025-08-01,,Medicine,,INR,,B2C,Medicine,27AASCA3306L1ZE,th407,22AASCA3306L1ZO,AWPSPL,6007,9999,,,,,AWPSPL,GDN_RETURN,,,22-Chhattisgarh,RP,,,19.56,0,0,MSPP,37886,2025-08-01
270369,J4FZX005,75.14,84.1568,2025-06-27,Gurgaon_DCAM,Jun-2025,2025-06-27,T0223-24A0000906,THREPSI SOLUTIONS PVT LTD - (MR-GGN),70613,GDN Return Mercury,NOBLOK AF DROPS,30049099,2,1,12,37.57,37.57,9.02,ICS,th223,T0223-24A000090670613,37687,2025-06-27,2024-12-13,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th224,06AAHCT1527F1ZK,AWPSPL,,13,,,,,TSPL,GDN_RETURN_OTHERS,0,1,06-Haryana,RP,T0223-24A0000906,2024-12-13,0,4.51,4.51,MSPP,3440,2025-06-27
55395,AJJ0054,117.78,117.78,2025-06-27,Gurgaon_DCAM,Jun-2025,2025-06-27,DR0425-25A000048,SACHDEVA MEDICALS (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-LKO-TRN),70616,GDN Return Mercury,DIABETROL SR STRIP OF 10 TABLETS,30049099,2,10 UNITS,0,58.89,58.89,0,NORMAL,th223,DR0425-25A00004870616,4647,2025-06-27,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th425,09AASCA3306L1ZC,AWPSPL,,2862,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,37923,2025-06-27
244100,SOC-2496B,77.14,86.3968,2025-06-27,Gurgaon_DCAM,Jun-2025,2025-06-27,T0223-25A0000509,THREPSI SOLUTIONS PVT LTD - (MR-GGN),70619,GDN Return Mercury,ANLEO DSR STRIP OF 10 CAPSULES,300490,1,1,12,77.14,77.14,9.26,ICS,th223,T0223-25A000050970619,31455,2025-06-27,2025-04-14,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th224,06AAHCT1527F1ZK,AWPSPL,,13,,,,,TSPL,GDN_RETURN_OTHERS,1,1,06-Haryana,RP,T0223-25A0000509,2025-04-14,0,4.63,4.63,MSPP,3440,2025-06-27
I01449,D2500036,51.5,57.68,2025-06-27,Gurgaon_DCAM,Jun-2025,2025-06-27,T0223-25A0001904,THREPSI SOLUTIONS PVT LTD - (MR-GGN),70621,GDN Return Mercury,TRYPTOMER 10MG STRIP OF 30 TABLETS,30049099,1,1,12,51.5,51.5,6.18,ICS,th223,T0223-25A000190470621,52181,2025-06-27,2025-05-22,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th224,06AAHCT1527F1ZK,AWPSPL,,13,,,,,TSPL,GDN_RETURN_OTHERS,1,1,06-Haryana,RP,T0223-25A0001904,2025-05-22,0,3.09,3.09,MSPP,3440,2025-06-27
O23787,S5-014,494.24,583.2032,2025-06-27,Gurgaon_DCAM,Jun-2025,2025-06-27,T0223-25A0000043,THREPSI SOLUTIONS PVT LTD - (MR-GGN),70622,GDN Return Mercury,RENADIET HP VANILLA FLAVOUR BOX OF 15GM ORAL POWDER (PACK OF 7),21069099,2,1,18,247.12,247.12,88.96,ICS,th223,T0223-25A000004370622,71112,2025-06-27,2025-04-02,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th224,06AAHCT1527F1ZK,AWPSPL,,13,,,,,TSPL,GDN_RETURN_OTHERS,1,1,06-Haryana,RP,T0223-25A0000043,2025-04-02,0,44.48,44.48,MSPP,3440,2025-06-27
I03376,INB23013,34.75,38.92,2025-06-27,Gurgaon_DCAM,Jun-2025,2025-06-27,T0223-24A0000331,THREPSI SOLUTIONS PVT LTD - (MR-GGN),70626,GDN Return Mercury,INDERAL 40 STRIP OF 15 TABLETS,300490,1,1,12,34.75,34.75,4.17,ICS,th223,T0223-24A000033170626,53664,2025-06-27,2024-11-26,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th224,06AAHCT1527F1ZK,AWPSPL,,13,,,,,TSPL,GDN_RETURN_OTHERS,0,1,06-Haryana,RP,T0223-24A0000331,2024-11-26,0,2.09,2.09,MSPP,3440,2025-06-27
364984,LB-092407,188.56,211.1872,2025-06-27,Gurgaon_DCAM,Jun-2025,2025-06-27,T0223-24A0003580,THREPSI SOLUTIONS PVT LTD - (MR-GGN),70636,GDN Return Mercury,ASCORIL FLU ORANGE FLAVOUR BOTTLE OF 15ML ORAL DROPS,30049099,4,1,12,47.14,47.14,22.63,ICS,th223,T0223-24A000358070636,40881,2025-06-27,2025-03-13,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th224,06AAHCT1527F1ZK,AWPSPL,,13,,,,,TSPL,GDN_RETURN_OTHERS,1,1,06-Haryana,RP,T0223-24A0003580,2025-03-13,0,11.31,11.31,MSPP,3440,2025-06-27
71715,5095C59920,40.17,44.9904,2025-06-27,Gurgaon_DCAM,Jun-2025,2025-06-27,T0223-25A0001837,THREPSI SOLUTIONS PVT LTD - (MR-GGN),70640,GDN Return Mercury,EVION 600MG STRIP OF 10 CAPSULES,210690,1,1,12,40.17,40.17,4.82,ICS,th223,T0223-25A000183770640,6491,2025-06-27,2025-05-20,Otc,,INR,,B2C,Otc,06AAFCD8004P1ZF,th224,06AAHCT1527F1ZK,AWPSPL,,13,,,,,TSPL,GDN_RETURN_OTHERS,1,1,06-Haryana,RP,T0223-25A0001837,2025-05-20,0,2.41,2.41,MSPP,3440,2025-06-27
I14570,D2410021,158.4,186.912,2025-06-27,Gurgaon_DCAM,Jun-2025,2025-06-27,T0223-24A0002036,THREPSI SOLUTIONS PVT LTD - (MR-GGN),70642,GDN Return Mercury,BONTRIX STRIP OF 10 TABLETS,21069099,1,1,18,158.4,158.4,28.51,ICS,th223,T0223-24A000203670642,58139,2025-06-27,2025-01-18,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th224,06AAHCT1527F1ZK,AWPSPL,,13,,,,,TSPL,GDN_RETURN_OTHERS,0,1,06-Haryana,RP,T0223-24A0002036,2025-01-18,0,14.26,14.26,MSPP,3440,2025-06-27
