skull_namespace,invoice_no,statuses,created_ons,created_by,total_count
th411,PD0428-24A003407,"StockHidden, live","2025-05-31 09:47:00, 2025-05-31 09:49:20, 2025-05-31 09:47:17, 2025-05-31 09:47:30, 2025-05-31 09:47:48, 2025-05-31 09:49:16, 2025-05-31 09:47:50, 2025-05-31 09:46:57, 2025-05-31 09:48:01, 2025-05-31 09:47:32, 2025-05-31 09:47:35, 2025-05-31 09:47:14, 2025-05-31 10:14:00, 2025-05-31 10:13:51, 2025-05-31 10:13:57, 2025-05-31 10:13:54, 2025-05-31 09:48:03, 2025-05-31 09:48:09, 2025-05-31 09:48:06, 2025-05-31 09:48:11, 2025-08-16 12:54:37","04ac02d5-7575-44fe-98f4-98745e20ef68,Kannan,9b07420e-cda5-4c99-82ae-be01054bc1bc",21
th411,P0403-25A0000061,"live, StockHidden","2025-06-24 10:25:08, 2025-06-11 12:24:25, 2025-06-23 14:13:39, 2025-06-23 14:13:59, 2025-06-23 14:14:05, 2025-06-27 08:49:26, 2025-07-20 09:15:58, 2025-06-27 08:49:20, 2025-06-27 08:54:44, 2025-06-27 09:05:46, 2025-06-27 09:05:11","98ab0179-60b6-40ea-9fa9-bd63ba8ba295,660cd962-fe79-419e-8a7f-00300591f711,Dhananjeyan,ad55ec32-9120-43fd-9aa8-2761a10c9215",11
th214,P0417-25A0000023,"StockHidden, pending-barcode","2025-06-22 07:47:55, 2025-06-22 07:47:47, 2025-06-22 07:47:54, 2025-06-22 07:47:52, 2025-06-22 07:47:50, 2025-06-22 07:47:58, 2025-06-22 07:47:59, 2025-06-22 07:47:57, 2025-06-22 07:47:51, 2025-05-29 09:04:47","3fffe9b6-ca14-4fe5-b817-c22334ac62d9,pooja",10
th223,,StockHidden,"2025-06-26 07:37:31, 2025-06-26 07:34:34, 2025-06-26 12:36:30, 2025-06-26 13:15:40",ed817790-a0dd-4273-8901-b52f35b1bbcb,4
th411,P0408-25A0000058,live,"2025-06-07 12:24:52, 2025-06-20 12:29:55, 2025-06-20 12:29:50",Dhananjeyan,3
th411,PD0409-25A001060,live,"2025-05-29 05:02:38, 2025-05-29 05:36:43, 2025-05-29 12:44:11","ajay,Kannan",3
th408,DR0411-25A000008,StockHidden,"2025-07-24 07:23:04, 2025-07-23 15:14:12",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,DR0224-25A000227,StockHidden,"2025-07-24 07:23:14, 2025-07-23 15:14:33",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th425,PD0224-25A004055,StockHidden,"2025-07-24 07:20:19, 2025-07-23 15:06:23",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,DR0224-25A000236,StockHidden,"2025-07-24 07:24:28, 2025-07-23 15:15:36",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th411,P0408-25A0000060,"live, StockHidden","2025-06-16 07:19:30, 2025-08-08 06:37:56","Dhananjeyan,f17a2067-ebfb-4575-8339-52ae690584d9",2
th411,U0408-25A0000002,"live, StockHidden","2025-06-16 07:21:00, 2025-08-08 06:37:31","yuasriguna,f17a2067-ebfb-4575-8339-52ae690584d9",2
th413,PD0214-25A006374,StockHidden,"2025-07-24 07:21:23, 2025-07-23 15:08:53",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
