tenant,id,status,invoice_id,invoice_no,partner_detail_id,child_tenant_partner_detail_id,tenantCode,invoice_sequence_type,error_reason
th205,306350,DISPATCH_READY,,,37916,,th411,DEBIT_NOTE_NUMBER,"API error 400: {""error"":""Request processing failed"",""message"":""PurchaseIssueItems not found for Purchase Issue id: 306350""}"
th205,306480,DISPATCH_READY,,,37916,,th411,DEBIT_NOTE_NUMBER,"API error 400: {""error"":""Request processing failed"",""message"":""PurchaseIssueItems not found for Purchase Issue id: 306480""}"
th205,306530,DISPATCH_READY,,,37916,,th411,DEBIT_NOTE_NUMBER,"API error 400: {""error"":""Request processing failed"",""message"":""PurchaseIssueItems not found for Purchase Issue id: 306530""}"
th224,769771,DISPATCH_READY,,,210683,,th43,DEBIT_NOTE_NUMBER,"API error 400: {""error"":""Request processing failed"",""message"":""PurchaseIssueItems not found for Purchase Issue id: 769771""}"
th224,769936,DISPATCH_READY,,,210683,,th43,DEBIT_NOTE_NUMBER,"API error 400: {""error"":""Request processing failed"",""message"":""PurchaseIssueItems not found for Purchase Issue id: 769936""}"
th224,769956,DISPATCH_READY,,,210683,,th43,DEBIT_NOTE_NUMBER,"API error 400: {""error"":""Request processing failed"",""message"":""PurchaseIssueItems not found for Purchase Issue id: 769956""}"
th224,776903,DISPATCH_READY,,,210683,29765,th43,DEBIT_NOTE_NUMBER,"API error 400: {""error"":""Request processing failed"",""message"":""PurchaseIssueItems not found for Purchase Issue id: 776903""}"
th224,778839,DISPATCH_READY,,,210683,2866,th43,DEBIT_NOTE_NUMBER,"API error 400: {""error"":""Request processing failed"",""message"":""PurchaseIssueItems not found for Purchase Issue id: 778839""}"
th224,793650,DISPATCH_READY,,,183381,101044,th22,DEBIT_NOTE_NUMBER,"API error 400: {""error"":""Request processing failed"",""message"":""PurchaseIssueItems not found for Purchase Issue id: 793650""}"
th224,793652,DISPATCH_READY,,,183381,101044,th22,DEBIT_NOTE_NUMBER,"API error 400: {""error"":""Request processing failed"",""message"":""PurchaseIssueItems not found for Purchase Issue id: 793652""}"
