tenant,id,status,invoice_id,invoice_no,partner_detail_id,child_tenant_partner_detail_id,tenantCode,invoice_sequence_type
th999,201,dormant,,,1825,,,DELIVERY_CHALLAN_NORMAL
th999,202,DISPATCH_READY,,,1825,,,DELIVERY_CHALLAN_NORMAL
th999,203,DISPATCH_READY,,,1825,,,DELIVERY_CHALLAN_NORMAL
th999,204,DISPATCH_READY,379,PROD7,90831,,,DELIVERY_CHALLAN_NORMAL
th999,205,DISPATCH_READY,380,PROD8,90831,,,DELIVERY_CHALLAN_NORMAL
th999,206,DISPATCH_READY,377,PRODS5,90831,,,DELIVERY_CHALLAN_NORMAL
th999,207,DISPATCH_READY,378,PRODS6,90831,,,DELIVERY_CHALLAN_NORMAL
th999,216,READY_FOR_RACKING,,,1825,,,DELIVERY_CHALLAN_NORMAL
th999,222,READY_FOR_RACKING,,,6468,,,DELIVERY_CHALLAN_NORMAL
th999,226,dormant,460,JOTISH03,1825,,,DELIVERY_CHALLAN_NORMAL
th999,227,dormant,461,JOTISH04,1825,,,DELIVERY_CHALLAN_NORMAL
th901,1,pending,204,T0427-24A0002499,60526,,th427,DEBIT_NOTE_NUMBER
th901,2,pending,182,T0427-24A0002119,60526,,th427,DEBIT_NOTE_NUMBER
th901,3,pending,206,T0427-24A0002502,60526,,th427,DEBIT_NOTE_NUMBER
th901,4,pending,205,T0427-24A0002500,60526,,th427,DEBIT_NOTE_NUMBER
th901,5,pending,227,T0427-24A0002543,60526,,th427,DEBIT_NOTE_NUMBER
th901,6,pending,235,T0427-24A0002558,60526,,th427,DEBIT_NOTE_NUMBER
th901,7,pending,254,T0427-24A0002629,60526,,th427,DEBIT_NOTE_NUMBER
th901,8,pending,231,T0427-24A0002548,60526,,th427,DEBIT_NOTE_NUMBER
th901,9,pending,236,T0427-24A0002561,60526,,th427,DEBIT_NOTE_NUMBER
th901,10,pending,242,T0427-24A0002575,60526,,th427,DEBIT_NOTE_NUMBER
th901,11,pending,241,T0427-24A0002571,60526,,th427,DEBIT_NOTE_NUMBER
th901,12,pending,250,T0427-24A0002619,60526,,th427,DEBIT_NOTE_NUMBER
th901,13,pending,256,T0427-24A0002648,60526,,th427,DEBIT_NOTE_NUMBER
th901,14,pending,226,T0427-24A0002541,60526,,th427,DEBIT_NOTE_NUMBER
th901,15,pending,253,T0427-24A0002628,60526,,th427,DEBIT_NOTE_NUMBER
th901,16,pending,255,T0427-24A0002631,60526,,th427,DEBIT_NOTE_NUMBER
th901,17,pending,237,T0427-24A0002562,60526,,th427,DEBIT_NOTE_NUMBER
th901,18,pending,239,T0427-24A0002567,60526,,th427,DEBIT_NOTE_NUMBER
th901,19,pending,192,T0427-24A0002221,60526,,th427,DEBIT_NOTE_NUMBER
th901,20,pending,236,T0427-24A0002561,60526,,th427,DEBIT_NOTE_NUMBER
th901,21,pending,205,T0427-24A0002500,60526,,th427,DEBIT_NOTE_NUMBER
th901,22,pending,234,T0427-24A0002555,60526,,th427,DEBIT_NOTE_NUMBER
th901,23,pending,233,T0427-24A0002553,60526,,th427,DEBIT_NOTE_NUMBER
th901,24,pending,232,T0427-24A0002551,60526,,th427,DEBIT_NOTE_NUMBER
th901,25,pending,230,T0427-24A0002547,60526,,th427,DEBIT_NOTE_NUMBER
th901,26,pending,227,T0427-24A0002543,60526,,th427,DEBIT_NOTE_NUMBER
th901,27,pending,229,T0427-24A0002546,60526,,th427,DEBIT_NOTE_NUMBER
th901,28,pending,227,T0427-24A0002543,60526,,th427,DEBIT_NOTE_NUMBER
th901,29,pending,227,T0427-24A0002543,60526,,th427,DEBIT_NOTE_NUMBER
th901,30,pending,248,T0427-24A0002614,60526,,th427,DEBIT_NOTE_NUMBER
th901,31,pending,227,T0427-24A0002543,60526,,th427,DEBIT_NOTE_NUMBER
th901,32,pending,227,T0427-24A0002543,60526,,th427,DEBIT_NOTE_NUMBER
th901,33,pending,227,T0427-24A0002543,60526,,th427,DEBIT_NOTE_NUMBER
th901,34,pending,230,T0427-24A0002547,60526,,th427,DEBIT_NOTE_NUMBER
th901,35,pending,227,T0427-24A0002543,60526,,th427,DEBIT_NOTE_NUMBER
th901,36,pending,227,T0427-24A0002543,60526,,th427,DEBIT_NOTE_NUMBER
th901,37,pending,227,T0427-24A0002543,60526,,th427,DEBIT_NOTE_NUMBER
th901,38,pending,164,T0427-24A0001999,60526,,th427,DEBIT_NOTE_NUMBER
th901,39,pending,248,T0427-24A0002614,60526,,th427,DEBIT_NOTE_NUMBER
th901,40,pending,248,T0427-24A0002614,60526,,th427,DEBIT_NOTE_NUMBER
th901,41,pending,248,T0427-24A0002614,60526,,th427,DEBIT_NOTE_NUMBER
th901,42,pending,164,T0427-24A0001999,60526,,th427,DEBIT_NOTE_NUMBER
th901,43,pending,164,T0427-24A0001999,60526,,th427,DEBIT_NOTE_NUMBER
th901,44,pending,164,T0427-24A0001999,60526,,th427,DEBIT_NOTE_NUMBER
th901,45,pending,164,T0427-24A0001999,60526,,th427,DEBIT_NOTE_NUMBER
th901,46,pending,164,T0427-24A0001999,60526,,th427,DEBIT_NOTE_NUMBER
th901,47,pending,164,T0427-24A0001999,60526,,th427,DEBIT_NOTE_NUMBER
th901,48,pending,244,T0427-24A0002581,60526,,th427,DEBIT_NOTE_NUMBER
th901,49,pending,244,T0427-24A0002581,60526,,th427,DEBIT_NOTE_NUMBER
th901,50,pending,244,T0427-24A0002581,60526,,th427,DEBIT_NOTE_NUMBER
th901,51,pending,244,T0427-24A0002581,60526,,th427,DEBIT_NOTE_NUMBER
th901,52,pending,221,T0427-24A0002524,60526,,th427,DEBIT_NOTE_NUMBER
th901,53,pending,200,T0427-24A0002296,60526,,th427,DEBIT_NOTE_NUMBER
th901,54,pending,219,T0427-24A0002519,60526,,th427,DEBIT_NOTE_NUMBER
th901,55,pending,222,T0427-24A0002527,60526,,th427,DEBIT_NOTE_NUMBER
th901,56,pending,222,T0427-24A0002527,60526,,th427,DEBIT_NOTE_NUMBER
th901,57,pending,222,T0427-24A0002527,60526,,th427,DEBIT_NOTE_NUMBER
th901,58,pending,222,T0427-24A0002527,60526,,th427,DEBIT_NOTE_NUMBER
th901,59,pending,222,T0427-24A0002527,60526,,th427,DEBIT_NOTE_NUMBER
th901,60,pending,222,T0427-24A0002527,60526,,th427,DEBIT_NOTE_NUMBER
th901,61,pending,222,T0427-24A0002527,60526,,th427,DEBIT_NOTE_NUMBER
th901,62,pending,222,T0427-24A0002527,60526,,th427,DEBIT_NOTE_NUMBER
th901,63,pending,222,T0427-24A0002527,60526,,th427,DEBIT_NOTE_NUMBER
th901,64,pending,222,T0427-24A0002527,60526,,th427,DEBIT_NOTE_NUMBER
th901,65,pending,170,T0427-24A0002076,60526,,th427,DEBIT_NOTE_NUMBER
th901,66,pending,170,T0427-24A0002076,60526,,th427,DEBIT_NOTE_NUMBER
th901,67,pending,170,T0427-24A0002076,60526,,th427,DEBIT_NOTE_NUMBER
th901,68,pending,170,T0427-24A0002076,60526,,th427,DEBIT_NOTE_NUMBER
th901,69,pending,170,T0427-24A0002076,60526,,th427,DEBIT_NOTE_NUMBER
th901,70,pending,170,T0427-24A0002076,60526,,th427,DEBIT_NOTE_NUMBER
th901,71,pending,170,T0427-24A0002076,60526,,th427,DEBIT_NOTE_NUMBER
th901,72,pending,170,T0427-24A0002076,60526,,th427,DEBIT_NOTE_NUMBER
th901,73,pending,170,T0427-24A0002076,60526,,th427,DEBIT_NOTE_NUMBER
th901,74,pending,170,T0427-24A0002076,60526,,th427,DEBIT_NOTE_NUMBER
th901,75,pending,217,T0427-24A0002517,60526,,th427,DEBIT_NOTE_NUMBER
th901,76,pending,216,T0427-24A0002516,60526,,th427,DEBIT_NOTE_NUMBER
th901,77,pending,209,T0427-24A0002505,60526,,th427,DEBIT_NOTE_NUMBER
th901,78,pending,209,T0427-24A0002505,60526,,th427,DEBIT_NOTE_NUMBER
th901,79,pending,209,T0427-24A0002505,60526,,th427,DEBIT_NOTE_NUMBER
th901,80,pending,205,T0427-24A0002500,60526,,th427,DEBIT_NOTE_NUMBER
th901,81,pending,212,T0427-24A0002508,60526,,th427,DEBIT_NOTE_NUMBER
th901,82,pending,209,T0427-24A0002505,60526,,th427,DEBIT_NOTE_NUMBER
th901,83,pending,210,T0427-24A0002506,60526,,th427,DEBIT_NOTE_NUMBER
th901,84,pending,208,T0427-24A0002504,60526,,th427,DEBIT_NOTE_NUMBER
th901,85,pending,212,T0427-24A0002508,60526,,th427,DEBIT_NOTE_NUMBER
th901,86,pending,206,T0427-24A0002502,60526,,th427,DEBIT_NOTE_NUMBER
th901,87,pending,206,T0427-24A0002502,60526,,th427,DEBIT_NOTE_NUMBER
th901,88,pending,206,T0427-24A0002502,60526,,th427,DEBIT_NOTE_NUMBER
th901,89,pending,206,T0427-24A0002502,60526,,th427,DEBIT_NOTE_NUMBER
th901,90,pending,203,T0427-24A0002497,60526,,th427,DEBIT_NOTE_NUMBER
th901,91,pending,206,T0427-24A0002502,60526,,th427,DEBIT_NOTE_NUMBER
th901,92,pending,220,T0427-24A0002522,60526,,th427,DEBIT_NOTE_NUMBER
th901,93,pending,203,T0427-24A0002497,60526,,th427,DEBIT_NOTE_NUMBER
th901,94,pending,203,T0427-24A0002497,60526,,th427,DEBIT_NOTE_NUMBER
th901,95,pending,203,T0427-24A0002497,60526,,th427,DEBIT_NOTE_NUMBER
th901,96,pending,195,T0427-24A0002260,60526,,th427,DEBIT_NOTE_NUMBER
th901,97,pending,207,T0427-24A0002503,60526,,th427,DEBIT_NOTE_NUMBER
th901,98,pending,207,T0427-24A0002503,60526,,th427,DEBIT_NOTE_NUMBER
th901,99,pending,207,T0427-24A0002503,60526,,th427,DEBIT_NOTE_NUMBER
th901,100,pending,207,T0427-24A0002503,60526,,th427,DEBIT_NOTE_NUMBER
th901,101,pending,214,T0427-24A0002511,60526,,th427,DEBIT_NOTE_NUMBER
th901,102,pending,244,T0427-24A0002581,60526,,th427,DEBIT_NOTE_NUMBER
th901,103,pending,244,T0427-24A0002581,60526,,th427,DEBIT_NOTE_NUMBER
th901,104,pending,214,T0427-24A0002511,60526,,th427,DEBIT_NOTE_NUMBER
th901,105,pending,244,T0427-24A0002581,60526,,th427,DEBIT_NOTE_NUMBER
th901,106,pending,247,T0427-24A0002596,60526,,th427,DEBIT_NOTE_NUMBER
th901,107,pending,205,T0427-24A0002500,60526,,th427,DEBIT_NOTE_NUMBER
th901,108,pending,195,T0427-24A0002260,60526,,th427,DEBIT_NOTE_NUMBER
th901,109,pending,214,T0427-24A0002511,60526,,th427,DEBIT_NOTE_NUMBER
th901,110,pending,215,T0427-24A0002513,60526,,th427,DEBIT_NOTE_NUMBER
th901,111,pending,187,T0427-24A0002127,60526,,th427,DEBIT_NOTE_NUMBER
th901,112,pending,173,T0427-24A0002093,60526,,th427,DEBIT_NOTE_NUMBER
th901,113,pending,168,T0427-24A0002038,60526,,th427,DEBIT_NOTE_NUMBER
th901,114,pending,205,T0427-24A0002500,60526,,th427,DEBIT_NOTE_NUMBER
th901,115,pending,202,T0427-24A0002481,60526,,th427,DEBIT_NOTE_NUMBER
th901,116,pending,205,T0427-24A0002500,60526,,th427,DEBIT_NOTE_NUMBER
th901,117,pending,205,T0427-24A0002500,60526,,th427,DEBIT_NOTE_NUMBER
th901,118,pending,205,T0427-24A0002500,60526,,th427,DEBIT_NOTE_NUMBER
th901,119,pending,205,T0427-24A0002500,60526,,th427,DEBIT_NOTE_NUMBER
th901,120,pending,205,T0427-24A0002500,60526,,th427,DEBIT_NOTE_NUMBER
th901,121,pending,205,T0427-24A0002500,60526,,th427,DEBIT_NOTE_NUMBER
