tenant,purchaseIssueId
th205,329266
th224,709974
th224,710905
th224,712197
th224,712217
th224,717863
th224,726946
th224,729696
th224,730509
th224,732734
th224,732751
th224,732876
th224,766760
th224,766762
th224,766906
th224,767605
th224,773325
th224,773362
th224,773363
th224,773364
th224,773365
th224,773367
th224,773368
th224,773369
th224,773370
th224,773378
th224,773380
th224,773603
th224,773605
th224,773608
th224,773617
th224,773800
th224,773801
th224,773802
th224,773803
th224,773804
th224,773805
th224,773849
th224,776453
th224,776459
th224,778410
th224,780156
th224,780799
th224,780861
th224,780875
th224,781097
th224,781101
th224,781149
th224,781186
th224,781255
th224,791737
th224,794574
th224,794575
th224,794732
th224,794876
th224,796127
th224,796135
th224,796141
th224,796147
th224,796152
th224,796154
th224,796155
th224,796159
th224,796160
th224,796164
th224,796168
th224,796171
th224,796175
th224,796179
th224,796183
th224,796187
th224,796190
th224,796194
th224,796198
th224,796201
th224,796204
th224,796207
th224,796210
th224,796212
th224,796216
th224,796219
th224,796222
th224,796226
th224,796229
th224,796231
th224,796233
th224,796241
th224,796244
th224,796246
th224,796248
th224,796249
th224,796250
th224,796252
th224,796253
th224,796254
th224,796255
th224,796256
th224,796257
th224,796258
th224,796259
th224,796260
th224,796261
th224,796262
th224,796276
th224,796277
th224,796284
th224,796285
th224,796286
th224,796287
th224,796422
th224,796428
th224,796435
th224,796440
th224,796441
th224,796442
th224,796443
th224,796444
th224,796445
th224,796446
th224,796448
th224,796449
th224,796450
th224,796451
th224,796452
th224,796453
th224,796454
th224,796455
th224,796456
th224,796457
th224,796458
th224,796459
th224,796460
th224,796462
th224,796463
th224,796465
th224,796466
th224,796469
th224,796470
th224,796471
th224,796474
th224,796475
th224,796477
th224,796478
th224,796483
th224,796485
th224,796487
th224,796488
th224,796489
th224,796490
th224,796491
th224,796492
th224,796493
th224,796494
th224,796495
th224,796496
th224,796497
th224,796498
th224,796499
th224,796500
th224,796501
th224,796502
th224,796503
th224,796504
th224,796505
th224,796506
th224,796507
th224,796508
th224,796509
th224,796510
th224,796511
th224,796512
th224,796513
th224,796514
th224,796515
th224,796516
th224,796517
th224,796518
th224,796519
th224,796520
th224,796521
th224,796522
th224,796523
th224,796524
th224,796525
th224,796526
th224,796527
th224,796528
th224,796529
th224,796530
th224,796531
th224,796532
th224,796533
th224,796534
th224,796535
th224,796536
th224,796537
th224,796538
th224,796539
th224,796540
th224,796541
th224,796542
th224,796543
th224,796544
th224,796545
th224,796546
th224,796547
th224,796548
th224,796549
th224,796550
th224,796551
th224,796552
th224,796553
th224,796554
th224,796555
th224,796556
th224,796557
th224,796558
th224,796559
th224,796560
th224,796561
th224,796562
th224,796563
th224,796564
th224,796565
th224,796566
th224,796567
th224,796568
th224,796569
th224,796570
th224,796571
th224,796572
th224,796573
th224,796574
th224,796575
th224,796576
th224,796577
th224,796578
th224,796579
th224,796580
th224,796581
th224,796582
th224,796583
th224,796584
th224,796585
th224,796586
th224,796587
th224,796588
th224,796589
th224,796591
th224,796592
th224,796593
th224,796594
th224,796595
th224,796596
th224,796597
th224,796598
th224,796599
th224,796600
th224,796601
th224,796602
th224,796603
th224,796604
th224,796605
th224,796606
th224,796607
th224,796608
th224,796609
th224,796610
th224,796611
th224,796612
th224,796613
th224,796616
th224,796617
th224,796618
th224,796619
th224,796620
th224,796621
th224,796622
th224,796623
th224,796624
th224,796625
th224,796626
th224,796627
th224,796628
th224,796629
th224,796630
th224,796631
th224,796632
th224,796633
th224,796634
th224,796635
th224,796636
th224,796637
th224,796638
th224,796639
th224,796640
th224,796641
th224,796642
th224,796643
th224,796644
th224,796645
th224,796646
th224,796647
th224,796648
th224,796649
th224,796650
th224,796651
th224,796652
th224,796653
th224,796654
th224,796655
th224,796656
th224,796657
th224,796658
th224,796659
th224,796660
th224,796661
th224,796668
